,0,1,2,3,4,5,6
0,Profit & Loss account of Grasim Industries (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],12386.36,18380.41,20345.85,15848.34,11111.06,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,246.24,907.30,
5,Revenue From Operations [Net],12386.36,18380.41,20345.85,15602.10,10203.76,
6,Total Operating Revenues,12386.36,18609.40,20550.43,15788.47,10345.65,
7,Other Income,513.68,525.45,567.98,461.36,473.93,
8,Total Revenue,12900.04,19134.85,21118.41,16249.83,10819.58,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,5215.57,12041.11,12577.07,9377.86,6170.53,
11,Operating And Direct Expenses,0.00,1152.02,1123.46,1033.89,591.14,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",273.86,-164.00,-126.24,51.87,95.47,
13,Employee Benefit Expenses,1391.29,1620.26,1529.00,1142.72,678.00,
14,Finance Costs,235.95,303.85,199.05,128.13,57.62,
15,Depreciation And Amortisation Expenses,828.17,846.76,760.39,627.66,446.14,
16,Other Expenses,3884.87,1338.62,1108.63,931.47,596.06,
17,Total Expenses,11886.16,17449.47,17438.71,13464.08,8694.64,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1013.88,1685.38,3679.70,2785.75,2124.94,
19,Exceptional Items,-80.99,-294.08,-2368.01,-272.61,0.00,
20,Profit/Loss Before Tax,932.89,1391.30,1311.69,2513.14,2124.94,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,122.44,270.26,983.28,767.10,536.35,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-148.49,-180.70,40.15,36.25,
25,Tax For Earlier Years,0.00,-0.42,-6.19,-62.77,-7.66,
26,Total Tax Expenses,122.44,121.35,796.39,744.48,564.94,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,810.45,1269.95,515.30,1768.66,1560.00,
28,Profit/Loss From Continuing Operations,905.00,1269.95,515.30,1768.66,1560.00,
29,Profit/Loss For The Period,905.00,1269.95,515.30,1768.66,1560.00,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),13.78,19.35,7.84,29.20,33.42,
33,Diluted EPS (Rs.),13.77,19.34,7.84,29.17,33.38,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,459.37,407.74,0.00,0.00,
42,Tax On Dividend,0.00,55.64,48.09,0.00,0.00,
43,Equity Dividend Rate (%),450.00,200.00,350.00,310.00,275.00,
