,0,1,2,3,4,5,6
0,Profit & Loss account of Greaves Cotton (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1329.06,1818.50,1984.68,1836.90,1815.78,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,47.60,184.83,
5,Revenue From Operations [Net],1329.06,1818.50,1984.68,1789.30,1630.95,
6,Total Operating Revenues,1329.06,1821.11,1987.82,1792.10,1634.26,
7,Other Income,10.04,19.84,41.63,45.29,50.19,
8,Total Revenue,1339.10,1840.95,2029.45,1837.39,1684.45,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,817.74,1117.12,1262.52,1120.90,988.60,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",28.19,-26.44,-15.01,22.99,-5.89,
13,Employee Benefit Expenses,127.09,158.04,174.68,167.29,159.32,
14,Finance Costs,5.63,3.84,3.33,0.81,0.81,
15,Depreciation And Amortisation Expenses,48.41,52.17,48.83,52.35,46.66,
16,Other Expenses,163.67,185.79,179.93,159.66,171.39,
17,Total Expenses,1286.17,1648.99,1765.25,1589.97,1438.30,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",52.93,191.96,264.20,247.42,246.15,
19,Exceptional Items,-34.46,4.71,-17.87,48.17,5.98,
20,Profit/Loss Before Tax,18.47,196.67,246.33,295.59,252.13,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,8.11,63.25,90.18,90.09,69.77,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-14.09,-13.15,2.88,-1.75,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,8.11,49.16,77.03,92.97,68.02,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,10.36,147.51,169.30,202.62,184.11,
28,Profit/Loss From Continuing Operations,10.36,147.51,169.30,202.62,184.11,
29,Profit/Loss For The Period,10.36,147.51,169.30,202.62,180.63,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),0.45,6.16,6.93,8.28,7.40,
33,Diluted EPS (Rs.),0.45,6.16,6.93,8.28,7.40,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,161.92,134.31,122.11,
42,Tax On Dividend,0.00,0.00,0.00,27.34,25.04,
43,Equity Dividend Rate (%),10.00,0.00,200.00,275.00,275.00,
