,0,1,2,3,4,5,6
0,Profit & Loss account of Garden Reach Shipbuilders & Engineers (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 12,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1140.84,1424.70,1378.77,1345.52,1293.80,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,1.90,4.40,
5,Revenue From Operations [Net],1140.84,1424.70,1378.77,1343.62,1289.40,
6,Total Operating Revenues,1140.84,1433.30,1386.42,1347.76,1292.89,
7,Other Income,187.60,225.50,171.24,179.23,35.71,
8,Total Revenue,1328.43,1658.79,1557.66,1526.99,1328.60,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,447.25,691.70,680.18,581.51,619.90,
11,Operating And Direct Expenses,0.00,243.19,180.41,209.71,77.83,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",11.33,-24.20,-9.15,1.81,-5.44,
13,Employee Benefit Expenses,269.38,296.94,291.47,298.60,276.28,
14,Finance Costs,2.70,1.34,5.11,7.69,0.19,
15,Depreciation And Amortisation Expenses,29.09,30.09,27.08,28.96,12.84,
16,Other Expenses,316.89,131.00,109.14,129.40,67.56,
17,Total Expenses,1100.56,1424.32,1376.50,1399.24,1157.85,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",227.87,234.48,181.16,127.75,170.75,
19,Exceptional Items,-20.75,-10.61,-2.20,0.00,-1.40,
20,Profit/Loss Before Tax,207.12,223.87,178.96,127.75,169.35,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,53.65,58.09,65.90,45.34,53.67,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,2.30,3.12,-9.99,2.97,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,53.65,60.39,69.02,35.35,56.64,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,153.47,163.48,109.94,92.40,112.71,
28,Profit/Loss From Continuing Operations,153.47,163.48,109.94,92.40,108.03,
29,Profit/Loss For The Period,153.47,163.48,109.94,92.40,108.03,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),13.40,14.27,9.60,7.60,87.23,
33,Diluted EPS (Rs.),13.40,14.27,9.60,7.60,87.23,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,139.86,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,480.04,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,124.17,86.79,65.08,24.77,
42,Tax On Dividend,0.00,25.52,0.00,0.00,4.02,
43,Equity Dividend Rate (%),50.00,71.00,70.00,44.00,20.00,
