,0,1,2,3,4,5,6
0,Profit & Loss account of Hathway Cable and Datacom (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],615.56,567.60,527.38,544.19,1300.95,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],615.56,567.60,527.38,544.19,1300.95,
6,Total Operating Revenues,615.56,567.69,527.63,544.54,1307.40,
7,Other Income,134.30,250.34,54.86,11.97,23.10,
8,Total Revenue,749.86,818.03,582.49,556.51,1330.50,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,180.30,122.54,128.99,677.16,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,56.41,56.81,49.84,41.91,86.48,
14,Finance Costs,19.85,116.10,102.58,78.34,110.30,
15,Depreciation And Amortisation Expenses,170.39,152.19,115.92,97.19,300.76,
16,Other Expenses,358.69,198.93,164.14,148.63,306.93,
17,Total Expenses,605.34,704.33,555.02,495.06,1481.63,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",144.52,113.70,27.47,61.45,-151.13,
19,Exceptional Items,-0.92,-6.01,-84.54,16.21,-3.49,
20,Profit/Loss Before Tax,143.60,107.69,-57.07,77.66,-154.62,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,32.45,0.00,0.00,0.00,0.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,91.05,-267.67,0.00,0.00,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,32.45,91.05,-267.67,0.00,0.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,111.15,16.64,210.60,77.66,-154.62,
28,Profit/Loss From Continuing Operations,111.15,16.64,210.60,77.66,-154.62,
29,Profit/Loss For The Period,111.15,16.64,210.60,77.66,-154.62,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),0.63,0.09,2.08,0.94,-1.86,
33,Diluted EPS (Rs.),0.63,0.09,2.08,0.94,-1.86,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
