,0,1,2,3,4,5,6
0,Profit & Loss account of Hatsun Agro Products (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],5569.74,5300.25,4751.76,4281.12,4196.15,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,2.43,7.82,
5,Revenue From Operations [Net],5569.74,5300.25,4751.76,4278.69,4188.32,
6,Total Operating Revenues,5569.74,5308.33,4760.30,4287.37,4197.59,
7,Other Income,5.76,8.65,6.05,8.32,6.79,
8,Total Revenue,5575.51,5316.99,4766.35,4295.68,4204.38,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,3951.96,3684.97,3289.59,3183.48,2996.72,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-150.62,73.33,52.37,-101.19,51.64,
13,Employee Benefit Expenses,188.37,167.71,155.92,140.84,126.97,
14,Finance Costs,110.43,105.85,85.72,87.64,70.20,
15,Depreciation And Amortisation Expenses,309.90,296.48,200.59,173.64,142.87,
16,Other Expenses,797.72,829.56,820.35,691.13,643.63,
17,Total Expenses,5211.35,5160.59,4605.16,4177.00,4032.65,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",364.15,156.39,161.18,118.68,171.73,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,364.15,156.39,161.18,118.68,171.73,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,117.80,52.80,46.28,24.88,36.13,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-0.46,0.06,0.91,1.71,
25,Tax For Earlier Years,0.00,-8.21,0.00,2.05,-1.50,
26,Total Tax Expenses,117.80,44.12,46.34,27.84,36.33,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,246.35,112.27,114.85,90.84,135.39,
28,Profit/Loss From Continuing Operations,246.35,112.27,114.85,90.84,135.39,
29,Profit/Loss For The Period,246.35,112.27,114.85,90.84,135.39,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),11.43,6.99,7.19,5.88,8.90,
33,Diluted EPS (Rs.),11.43,6.94,7.19,5.88,8.90,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,96.25,77.61,60.58,15.22,
42,Tax On Dividend,0.00,19.78,15.95,12.67,3.10,
43,Equity Dividend Rate (%),800.00,400.00,400.00,400.00,400.00,
