,0,1,2,3,4,5,6
0,Profit & Loss account of Havells India (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],10427.92,9396.04,9967.42,8183.64,6537.99,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,121.70,450.70,
5,Revenue From Operations [Net],10427.92,9396.04,9967.42,8061.94,6087.29,
6,Total Operating Revenues,10427.92,9429.20,10057.62,8138.57,6135.26,
7,Other Income,187.82,111.98,127.55,116.99,134.28,
8,Total Revenue,10615.74,9541.18,10185.17,8255.56,6269.54,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,5390.51,4389.58,4513.04,3586.69,3268.69,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-531.07,172.74,-248.16,-325.88,-113.52,
13,Employee Benefit Expenses,885.33,899.58,832.42,649.73,500.40,
14,Finance Costs,72.64,19.72,15.91,23.97,12.15,
15,Depreciation And Amortisation Expenses,248.86,217.91,148.57,139.52,119.63,
16,Other Expenses,1502.43,1667.10,1754.46,1458.78,1162.25,
17,Total Expenses,9184.16,8639.45,9029.91,7252.77,5442.90,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1431.58,901.73,1155.26,1002.79,826.64,
19,Exceptional Items,0.00,0.00,0.00,11.91,-57.81,
20,Profit/Loss Before Tax,1431.58,901.73,1155.26,1014.70,768.83,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,391.94,198.93,269.53,208.99,234.48,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,43.09,0.00,
24,Deferred Tax,0.00,-30.23,94.21,136.28,-4.69,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,391.94,168.70,363.74,302.18,229.79,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1039.64,733.03,791.52,712.52,539.04,
28,Profit/Loss From Continuing Operations,1039.64,733.03,791.52,712.52,539.04,
29,Profit/Loss For The Period,1039.64,733.03,791.52,712.52,539.04,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),16.61,11.71,12.66,11.40,8.63,
33,Diluted EPS (Rs.),16.61,11.71,12.66,11.40,8.63,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,531.93,250.19,218.80,187.46,
42,Tax On Dividend,0.00,109.34,51.43,44.54,38.17,
43,Equity Dividend Rate (%),650.00,400.00,450.00,400.00,350.00,
