,0,1,2,3,4,5,6
0,Profit & Loss account of HCL Technologies (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],35673.00,32606.00,26012.00,22073.00,19318.00,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],35673.00,32606.00,26012.00,22073.00,19318.00,
6,Total Operating Revenues,35673.00,32606.00,26012.00,22073.00,19318.00,
7,Other Income,965.00,587.00,805.00,702.00,956.00,
8,Total Revenue,36638.00,33193.00,26817.00,22775.00,20274.00,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,7207.00,4901.00,2918.00,2219.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-3.00,4.00,22.00,50.00,39.00,
13,Employee Benefit Expenses,11749.00,9916.00,8079.00,7365.00,6844.00,
14,Finance Costs,177.00,238.00,16.00,23.00,55.00,
15,Depreciation And Amortisation Expenses,2813.00,1952.00,1276.00,893.00,478.00,
16,Other Expenses,9350.00,2555.00,2450.00,2263.00,2239.00,
17,Total Expenses,24228.00,22016.00,16886.00,13650.00,11998.00,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",12410.00,11177.00,9931.00,9125.00,8276.00,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,12410.00,11177.00,9931.00,9125.00,8276.00,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,3667.00,1965.00,2354.00,1987.00,1537.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,243.00,-608.00,-224.00,-134.00,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,3667.00,2208.00,1746.00,1763.00,1403.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,8743.00,8969.00,8185.00,7362.00,6873.00,
28,Profit/Loss From Continuing Operations,8743.00,8969.00,8185.00,7362.00,6873.00,
29,Profit/Loss For The Period,8743.00,8969.00,8185.00,7362.00,6873.00,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),32.22,33.06,59.69,52.54,48.18,
33,Diluted EPS (Rs.),32.22,33.05,59.66,52.54,48.13,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,1357.00,1099.00,1692.00,4069.00,
42,Tax On Dividend,0.00,268.00,222.00,340.00,0.00,
43,Equity Dividend Rate (%),1300.00,500.00,400.00,600.00,1200.00,
