,0,1,2,3,4,5,6
0,Profit & Loss account of HDFC Asset Management Company (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2003.25,1915.18,1756.77,1480.04,1442.55,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],2003.25,1915.18,1756.77,1480.04,1442.55,
6,Total Operating Revenues,2003.25,1915.18,1756.77,1480.04,1442.55,
7,Other Income,140.18,181.60,113.00,107.88,51.80,
8,Total Revenue,2143.43,2096.78,1869.77,1587.91,1494.34,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,20.89,240.26,326.99,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,214.71,206.27,186.10,157.55,143.19,
14,Finance Costs,8.98,0.00,0.00,0.00,0.00,
15,Depreciation And Amortisation Expenses,50.37,12.85,9.36,11.96,11.06,
16,Other Expenses,195.43,222.70,289.09,618.59,631.85,
17,Total Expenses,490.38,722.08,811.54,788.11,786.09,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1653.05,1374.70,1058.23,799.80,708.25,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,1653.05,1374.70,1058.23,799.80,708.25,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,410.52,445.47,341.25,245.02,230.98,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-19.88,-1.37,5.69,4.54,-0.61,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,390.64,444.10,346.94,249.56,230.37,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1262.41,930.60,711.29,550.25,477.88,
28,Profit/Loss From Continuing Operations,1262.41,930.60,711.29,550.25,477.88,
29,Profit/Loss For The Period,1262.41,930.60,711.29,550.25,477.88,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),59.37,43.87,34.52,27.33,23.64,
33,Diluted EPS (Rs.),59.24,43.78,34.47,27.05,23.56,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,255.11,255.09,336.89,231.54,201.31,
42,Tax On Dividend,52.44,52.43,68.58,47.14,40.98,
43,Equity Dividend Rate (%),560.00,480.00,320.00,920.00,800.00,
