,0,1,2,3,4,5,6
0,Profit & Loss account of HDFC Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Interest / Discount on Advances / Bills,94834.54,91787.88,77544.19,62661.79,52055.26,
4,Income from Investments,23214.27,20633.32,19997.46,16222.37,15944.34,
5,Interest on Balance with RBI and Other Inter-Bank funds,2341.25,1828.93,635.70,523.88,532.02,
6,Others,468.17,562.52,794.70,833.31,774.34,
7,Total Interest Earned,120858.23,114812.65,98972.05,80241.36,69305.96,
8,Other Income,25204.89,23260.82,17625.88,15220.30,12296.50,
9,Total Income,146063.12,138073.47,116597.94,95461.66,81602.46,
10,EXPENDITURE,,,,,,
11,Interest Expended,55978.66,58626.40,50728.83,40146.49,36166.73,
12,Payments to and Provisions for Employees,10364.79,9525.67,7761.76,6805.74,6483.66,
13,Depreciation,0.00,1195.85,1140.10,906.34,833.12,
14,Operating Expenses (excludes Employee Cost & Depreciation),22357.83,19976.01,17217.51,14978.30,12386.55,
15,Total Operating Expenses,32722.62,30697.53,26119.37,22690.38,19703.34,
16,Provision Towards Income Tax,10542.46,9833.15,12129.61,10107.25,7916.97,
17,Provision Towards Deferred Tax,0.00,516.69,-1008.12,-896.68,-327.54,
18,Other Provisions and Contingencies,15702.85,12142.39,7550.08,5927.49,3593.31,
19,Total Provisions and Contingencies,26245.31,22492.23,18671.57,15138.06,11182.74,
20,Total Expenditure,114946.59,111816.15,95519.77,77974.93,67052.82,
21,Net Profit / Loss for The Year,31116.53,26257.32,21078.17,17486.73,14549.64,
22,Net Profit / Loss After EI & Prior Year Items,31116.53,26257.32,21078.17,17486.73,14549.64,
23,Profit / Loss Brought Forward,0.00,49223.30,40453.42,32668.94,23527.69,
24,Total Profit / Loss available for Appropriations,0.00,75480.62,61531.58,50155.67,38077.33,
25,APPROPRIATIONS,,,,,,
26,Transfer To / From Statutory Reserve,0.00,6564.33,5269.54,4371.68,3637.41,
27,Transfer To / From Capital Reserve,0.00,1123.85,105.34,235.52,313.41,
28,Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,0.00,
29,Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,3390.58,-1.69,
30,Equity Share Dividend,0.00,6540.31,4052.59,0.00,0.00,
31,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
32,Balance Carried Over To Balance Sheet,0.00,57492.40,49223.30,40453.42,32668.94,
33,Total Appropriations,0.00,75480.62,61531.58,50155.67,38077.33,
34,OTHER INFORMATION,,,,,,
35,EARNINGS PER SHARE,,,,,,
36,Basic EPS (Rs.),56.60,48.01,78.65,67.76,57.18,
37,Diluted EPS (Rs.),56.30,47.66,77.87,66.84,56.43,
38,DIVIDEND PERCENTAGE,,,,,,
39,Equity Dividend Rate (%),0.00,250.00,750.00,650.00,550.00,
