,0,1,2,3,4,5,6
0,Profit & Loss account of HEG (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1256.23,2101.89,6436.32,2672.07,869.15,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,8.34,35.98,
5,Revenue From Operations [Net],1256.23,2101.89,6436.32,2663.73,833.17,
6,Total Operating Revenues,1256.23,2149.02,6592.83,2750.07,860.04,
7,Other Income,112.91,143.76,109.19,12.37,7.13,
8,Total Revenue,1369.14,2292.78,6702.02,2762.43,867.17,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,504.94,1558.13,1611.84,575.81,329.85,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",304.15,62.95,-497.06,-97.82,92.61,
13,Employee Benefit Expenses,54.53,65.60,197.57,112.56,58.78,
14,Finance Costs,11.37,36.51,17.97,56.68,54.72,
15,Depreciation And Amortisation Expenses,73.12,72.13,72.39,72.56,73.92,
16,Other Expenses,451.79,468.17,622.23,437.94,285.14,
17,Total Expenses,1399.90,2263.49,2024.94,1157.72,907.94,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-30.76,29.29,4677.08,1604.71,-40.77,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,-30.76,29.29,4677.08,1604.71,-40.77,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,-5.46,0.00,1620.33,513.56,1.12,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-23.90,7.30,9.81,8.15,
25,Tax For Earlier Years,0.00,-0.19,-0.98,0.00,0.00,
26,Total Tax Expenses,-5.46,-24.08,1626.65,523.37,9.27,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-25.30,53.37,3050.43,1081.34,-50.05,
28,Profit/Loss From Continuing Operations,-25.30,53.37,3050.43,1081.34,-50.05,
29,Profit/Loss For The Period,-25.30,53.37,3050.43,1081.34,-50.05,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-6.56,13.83,763.60,270.61,-12.52,
33,Diluted EPS (Rs.),-6.56,13.83,763.60,270.61,-12.52,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,289.47,319.67,144.28,0.00,
42,Tax On Dividend,0.00,59.50,65.71,0.00,0.00,
43,Equity Dividend Rate (%),30.00,250.00,800.00,800.00,0.00,
