,0,1,2,3,4,5,6
0,Profit & Loss account of HeidelbergCement India (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2092.66,2157.64,2109.44,1933.16,1972.00,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,72.49,284.39,
5,Revenue From Operations [Net],2092.66,2157.64,2109.44,1860.67,1687.61,
6,Total Operating Revenues,2116.67,2169.62,2133.35,1889.47,1717.46,
7,Other Income,46.46,52.73,34.82,19.93,23.69,
8,Total Revenue,2163.13,2222.35,2168.17,1909.40,1741.15,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,368.55,383.59,391.52,356.64,325.99,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",3.92,5.06,-5.18,13.61,34.66,
13,Employee Benefit Expenses,127.34,131.19,123.90,120.15,114.76,
14,Finance Costs,50.85,73.85,74.78,74.45,89.77,
15,Depreciation And Amortisation Expenses,111.03,108.61,101.77,101.17,99.15,
16,Other Expenses,1110.22,1121.99,1139.77,1035.71,963.19,
17,Total Expenses,1771.91,1824.29,1826.56,1701.73,1627.52,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",391.22,398.06,341.61,207.67,113.63,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,391.22,398.06,341.61,207.67,113.63,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,76.27,69.17,73.75,44.43,23.95,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,60.83,46.96,30.06,13.27,
25,Tax For Earlier Years,0.00,0.00,0.24,0.00,0.20,
26,Total Tax Expenses,76.27,130.00,120.95,74.49,37.42,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,314.95,268.06,220.66,133.18,76.21,
28,Profit/Loss From Continuing Operations,314.95,268.06,220.66,133.18,76.21,
29,Profit/Loss For The Period,314.95,268.06,220.66,133.18,76.21,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),13.90,11.83,9.74,5.88,3.36,
33,Diluted EPS (Rs.),13.90,11.83,9.74,5.88,3.36,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,101.98,79.31,45.32,0.00,
42,Tax On Dividend,0.00,20.96,16.30,9.23,0.00,
43,Equity Dividend Rate (%),80.00,75.00,40.00,25.00,20.00,
