,0,1,2,3,4,5,6
0,Profit & Loss account of Hindustan Copper (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],806.27,1757.85,1636.19,1209.28,1068.91,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,35.43,106.81,103.12,
5,Revenue From Operations [Net],806.27,1757.85,1600.76,1102.47,965.79,
6,Total Operating Revenues,831.85,1816.26,1684.25,1203.96,968.76,
7,Other Income,56.96,36.66,27.30,27.45,48.77,
8,Total Revenue,888.81,1852.92,1711.55,1231.41,1017.52,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,6.28,64.93,411.38,293.93,45.41,
11,Operating And Direct Expenses,560.20,645.55,581.90,545.85,491.23,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-51.14,143.37,-7.25,-271.31,-87.21,
13,Employee Benefit Expenses,259.62,316.51,327.92,330.46,319.40,
14,Finance Costs,60.42,55.46,21.29,9.01,1.44,
15,Depreciation And Amortisation Expenses,288.61,252.89,164.65,141.90,120.33,
16,Other Expenses,302.53,143.85,89.61,87.02,81.55,
17,Total Expenses,1426.53,1622.57,1589.51,1136.87,972.15,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-537.71,230.35,122.04,94.54,45.37,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,-537.71,230.35,122.04,94.54,45.37,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,8.42,91.29,46.40,26.09,21.64,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,22.96,-6.68,-4.19,6.29,-19.82,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,31.38,84.61,42.20,32.38,1.82,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-569.09,145.74,79.83,62.16,43.56,
28,Profit/Loss From Continuing Operations,-569.09,145.74,79.83,62.16,43.56,
29,Profit/Loss For The Period,-569.35,145.51,79.61,61.94,43.56,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-6.15,1.57,0.86,0.67,0.47,
33,Diluted EPS (Rs.),-6.15,1.57,0.86,0.67,0.47,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,4.61,57.41,389.50,219.66,0.00,
36,Indigenous Raw Materials,0.22,5.28,21.55,73.93,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,1.58,8.83,0.60,0.59,2.63,
39,Indigenous Stores And Spares,162.98,204.49,221.80,200.07,224.71,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,58.00,23.13,22.27,0.00,0.00,
42,Tax On Dividend,0.00,4.75,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,10.00,5.00,4.00,0.00,
