,0,1,2,3,4,5,6
0,Profit & Loss account of Hindustan Zinc (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],22071.00,18332.00,20834.00,22213.00,18571.00,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,437.00,1525.00,
5,Revenue From Operations [Net],22071.00,18332.00,20834.00,21776.00,17046.00,
6,Total Operating Revenues,22629.00,18561.00,21118.00,22084.00,17273.00,
7,Other Income,1819.00,1934.00,1782.00,1751.00,2474.00,
8,Total Revenue,24448.00,20495.00,22900.00,23835.00,19747.00,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,26.00,
11,Operating And Direct Expenses,0.00,341.00,269.00,417.00,279.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",239.00,-291.00,-64.00,498.00,-676.00,
13,Employee Benefit Expenses,760.00,689.00,905.00,776.00,722.00,
14,Finance Costs,386.00,112.00,113.00,283.00,202.00,
15,Depreciation And Amortisation Expenses,2531.00,2279.00,1883.00,1483.00,1811.00,
16,Other Expenses,9958.00,8975.00,9338.00,8121.00,6847.00,
17,Total Expenses,13874.00,12105.00,12444.00,11578.00,9547.00,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",10574.00,8390.00,10456.00,12257.00,10200.00,
19,Exceptional Items,0.00,0.00,0.00,240.00,0.00,
20,Profit/Loss Before Tax,10574.00,8390.00,10456.00,12497.00,10200.00,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,2594.00,1428.00,2220.00,2647.00,2196.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,157.00,280.00,574.00,-312.00,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,2594.00,1585.00,2500.00,3221.00,1884.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,7980.00,6805.00,7956.00,9276.00,8316.00,
28,Profit/Loss From Continuing Operations,7980.00,6805.00,7956.00,9276.00,8316.00,
29,Profit/Loss For The Period,7980.00,6805.00,7956.00,9276.00,8316.00,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),18.89,16.11,18.83,21.95,19.68,
33,Diluted EPS (Rs.),18.89,16.11,18.83,21.95,19.68,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,8451.00,3381.00,12422.00,
42,Tax On Dividend,0.00,0.00,1738.00,688.00,2529.00,
43,Equity Dividend Rate (%),1065.00,825.00,1000.00,400.00,1470.00,
