,0,1,2,3,4,5,6
0,Profit & Loss account of Honeywell Automation (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],3042.78,3271.42,3173.41,2696.96,2443.71,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,8.16,34.65,
5,Revenue From Operations [Net],3042.78,3271.42,3173.41,2688.80,2409.06,
6,Total Operating Revenues,3042.78,3290.01,3174.74,2689.98,2410.07,
7,Other Income,83.97,97.65,70.87,33.12,38.03,
8,Total Revenue,3126.75,3387.66,3245.61,2723.10,2448.10,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1270.39,1359.45,1345.98,1143.37,1087.04,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-20.26,-7.78,-15.25,7.77,6.05,
13,Employee Benefit Expenses,524.36,554.81,539.80,449.74,413.93,
14,Finance Costs,6.21,6.87,3.48,0.28,0.26,
15,Depreciation And Amortisation Expenses,48.66,40.58,15.89,15.20,16.35,
16,Other Expenses,398.60,455.93,482.85,469.87,410.11,
17,Total Expenses,2508.73,2701.11,2690.72,2341.87,2140.79,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",618.02,686.55,554.89,381.23,307.31,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,618.02,686.55,554.89,381.23,307.31,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,157.98,173.78,195.36,138.74,104.68,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,21.29,0.69,-7.24,4.08,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,29.10,
26,Total Tax Expenses,157.98,195.07,196.05,131.50,137.86,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,460.04,491.48,358.84,249.73,169.45,
28,Profit/Loss From Continuing Operations,460.04,491.48,358.84,249.73,169.45,
29,Profit/Loss For The Period,460.04,491.48,358.84,249.73,169.45,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),520.32,555.88,405.86,282.45,191.65,
33,Diluted EPS (Rs.),520.32,555.88,405.86,282.45,191.65,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,39.79,28.29,8.84,8.84,
42,Tax On Dividend,0.00,8.18,5.82,1.80,1.80,
43,Equity Dividend Rate (%),850.00,750.00,450.00,320.00,100.00,
