,0,1,2,3,4,5,6
0,Profit & Loss account of Housing & Urban Development Corporation (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],7532.12,5547.64,4171.36,3472.94,3235.26,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],7532.12,5547.64,4171.36,3472.94,3235.26,
6,Total Operating Revenues,7532.12,5547.64,4171.36,3498.85,3252.64,
7,Other Income,39.52,43.58,62.78,85.99,97.44,
8,Total Revenue,7571.64,5591.22,4234.14,3584.84,3350.08,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,21.76,29.18,5.67,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,239.02,224.12,176.40,124.41,140.39,
14,Finance Costs,4847.81,3070.51,2294.79,1986.32,1907.31,
15,Depreciation And Amortisation Expenses,5.71,5.30,5.46,4.68,4.51,
16,Other Expenses,127.05,71.63,72.38,46.34,48.14,
17,Total Expenses,5397.11,3728.01,2825.51,2459.08,2229.55,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2174.53,1863.21,1408.63,1125.76,1120.53,
19,Exceptional Items,0.00,0.00,0.00,0.26,5.16,
20,Profit/Loss Before Tax,2174.53,1863.21,1408.63,1126.02,1125.69,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,453.00,584.90,441.15,389.80,336.30,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,14.91,98.78,-42.16,-60.41,-21.22,
25,Tax For Earlier Years,-1.80,-0.62,-0.54,3.80,0.00,
26,Total Tax Expenses,466.11,683.06,398.45,333.19,315.08,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1708.42,1180.15,1010.18,792.83,810.61,
28,Profit/Loss From Continuing Operations,1708.42,1180.15,1010.18,841.81,810.61,
29,Profit/Loss For The Period,1708.42,1180.15,1010.18,841.81,810.61,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),8.53,5.90,5.05,4.21,4.00,
33,Diluted EPS (Rs.),8.53,5.90,5.05,4.21,4.00,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,180.17,135.13,110.10,100.01,100.01,
42,Tax On Dividend,37.03,27.78,22.42,20.36,20.36,
43,Equity Dividend Rate (%),31.00,8.00,6.00,1.00,5.00,
