,0,1,2,3,4,5,6
0,Profit & Loss account of ICICI Prudential Life Insurance Company (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2648.15,1718.86,1828.76,1796.24,1809.87,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],2648.15,1718.86,1828.76,1796.24,1809.87,
6,Total Operating Revenues,2648.15,1718.86,1828.76,1796.24,1809.87,
7,Other Income,0.54,9.04,4.84,28.53,0.00,
8,Total Revenue,2648.69,1727.89,1833.60,1824.77,1809.87,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,8.66,10.84,10.51,10.94,0.00,
14,Finance Costs,0.12,0.13,0.17,0.10,0.00,
15,Depreciation And Amortisation Expenses,0.01,0.01,0.01,0.01,0.00,
16,Other Expenses,1524.60,26.75,28.08,26.91,35.72,
17,Total Expenses,1579.94,564.93,114.04,39.76,35.72,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1068.75,1162.96,1719.56,1785.01,1774.15,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,1068.75,1162.96,1719.56,1785.01,1774.15,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,0.00,22.32,99.74,102.78,121.11,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,0.00,0.00,0.00,0.00,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,0.00,22.32,99.74,102.78,121.11,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1068.75,1140.65,1619.83,1682.23,1653.04,
28,Profit/Loss From Continuing Operations,1068.75,1140.65,1619.83,1682.23,1653.04,
29,Profit/Loss For The Period,1068.75,1140.65,1619.83,1682.23,1653.04,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),7.44,7.95,11.28,11.73,11.54,
33,Diluted EPS (Rs.),7.43,7.94,11.28,11.72,11.53,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,337.42,703.43,990.46,552.27,1202.99,
42,Tax On Dividend,69.36,144.59,201.63,112.43,244.89,
43,Equity Dividend Rate (%),8.00,32.00,78.00,53.00,84.00,
