,0,1,2,3,4,5,6
0,Profit & Loss account of IDBI Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Interest / Discount on Advances / Bills,11821.17,13101.51,14380.90,15693.55,19310.33,
4,Income from Investments,5160.62,5780.64,6443.22,5899.23,6574.71,
5,Interest on Balance with RBI and Other Inter-Bank funds,644.32,453.55,189.37,232.84,456.85,
6,Others,2305.65,1489.44,1057.75,1200.91,1449.48,
7,Total Interest Earned,19931.76,20825.14,22071.24,23026.53,27791.37,
8,Other Income,4625.17,4470.33,3300.30,7008.88,3967.60,
9,Total Income,24556.93,25295.48,25371.53,30035.41,31758.97,
10,EXPENDITURE,,,,,,
11,Interest Expended,11414.21,13847.30,16165.62,17386.21,22039.71,
12,Payments to and Provisions for Employees,3090.25,3230.93,2191.20,1781.08,2203.59,
13,Depreciation,0.00,390.68,366.44,372.73,358.94,
14,Operating Expenses (excludes Employee Cost & Depreciation),2961.69,2714.55,2596.15,2590.88,2578.28,
15,Total Operating Expenses,6051.94,6336.16,5153.79,4744.69,5140.81,
16,Provision Towards Income Tax,1009.16,0.00,0.00,0.00,203.93,
17,Provision Towards Deferred Tax,0.00,3919.90,-7710.87,-4354.61,-3663.81,
18,Other Provisions and Contingencies,4722.16,14079.44,26879.29,20497.05,13196.47,
19,Total Provisions and Contingencies,5731.32,17999.34,19168.42,16142.44,9736.59,
20,Total Expenditure,23197.47,38182.81,40487.83,38273.33,36917.11,
21,Net Profit / Loss for The Year,1359.46,-12887.33,-15116.29,-8237.92,-5158.14,
22,Net Profit / Loss After EI & Prior Year Items,1359.46,-12887.33,-15116.29,-8237.92,-5158.14,
23,Profit / Loss Brought Forward,0.00,-32512.93,-17164.01,-8492.39,-2827.28,
24,Total Profit / Loss available for Appropriations,0.00,-45400.26,-32280.30,-16730.31,-7985.42,
25,APPROPRIATIONS,,,,,,
26,Transfer To / From Statutory Reserve,0.00,0.00,0.00,-544.60,0.00,
27,Transfer To / From Capital Reserve,0.00,185.91,232.62,978.30,506.97,
28,Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,0.00,
29,Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
30,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
31,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
32,Balance Carried Over To Balance Sheet,0.00,-45586.17,-32512.93,-17164.01,-8492.39,
33,Total Appropriations,0.00,-45400.26,-32280.30,-16730.31,-7985.42,
34,OTHER INFORMATION,,,,,,
35,EARNINGS PER SHARE,,,,,,
36,Basic EPS (Rs.),1.30,-14.48,-30.48,-34.45,-25.05,
37,Diluted EPS (Rs.),1.30,-14.48,-30.48,-34.45,-25.05,
38,DIVIDEND PERCENTAGE,,,,,,
39,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
