,0,1,2,3,4,5,6
0,Profit & Loss account of Vodafone Idea Limited (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],44683.00,36766.80,27800.00,35256.51,35772.51,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],44683.00,36766.80,27800.00,35256.51,35772.51,
6,Total Operating Revenues,44715.00,36858.80,27828.60,35278.65,35803.69,
7,Other Income,1086.10,1073.30,606.50,197.03,177.34,
8,Total Revenue,45801.10,37932.10,28435.10,35475.67,35981.03,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,24819.00,28915.00,19877.20,21652.39,21083.66,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,1972.60,2120.90,1396.80,1625.64,1473.52,
14,Finance Costs,15377.20,9471.30,4896.80,3978.01,1777.85,
15,Depreciation And Amortisation Expenses,23888.80,14409.80,8314.80,7700.02,6223.23,
16,Other Expenses,3306.00,1944.00,910.30,1938.63,1351.92,
17,Total Expenses,69363.60,56861.00,35395.90,36894.67,31910.18,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-23562.50,-18928.90,-6960.80,-1419.00,4070.85,
19,Exceptional Items,-38724.20,1236.70,0.00,0.00,0.00,
20,Profit/Loss Before Tax,-62286.70,-17692.20,-6960.80,-1419.00,4070.85,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,0.00,0.00,17.30,0.00,862.18,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,10844.80,-3636.20,-2519.80,-587.93,562.38,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,10844.80,-3636.20,-2502.50,-587.93,1424.56,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-73131.50,-14056.00,-4458.30,-831.08,2646.29,
28,Profit/Loss From Continuing Operations,-73131.50,-14056.00,-4458.30,-831.08,2646.29,
29,Profit/Loss For The Period,-73131.50,-14056.00,-4458.30,-831.08,2646.29,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-26.97,-20.33,-12.07,-2.31,7.35,
33,Diluted EPS (Rs.),-26.97,-20.33,-12.07,-2.31,7.33,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,215.96,
42,Tax On Dividend,0.00,0.00,0.00,0.00,43.97,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,6.00,
