,0,1,2,3,4,5,6
0,Profit & Loss account of IDFC (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],152.57,157.70,216.73,152.33,221.00,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],152.57,157.70,216.73,152.33,221.00,
6,Total Operating Revenues,152.57,157.70,216.73,159.22,224.13,
7,Other Income,11.53,11.49,25.55,0.00,1.75,
8,Total Revenue,164.10,169.19,242.28,159.22,225.88,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,14.52,21.68,10.93,11.24,9.87,
14,Finance Costs,0.85,0.00,0.30,2.73,0.00,
15,Depreciation And Amortisation Expenses,13.80,5.17,5.24,5.25,4.96,
16,Other Expenses,14.10,12.17,13.91,11.55,6.09,
17,Total Expenses,87.22,60.95,35.45,80.29,61.63,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",76.88,108.24,206.83,78.93,164.25,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,76.88,108.24,206.83,78.93,164.25,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,14.34,20.24,14.86,23.10,14.29,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-1.68,-10.71,7.97,0.08,8.26,
25,Tax For Earlier Years,0.04,-29.18,0.00,0.00,0.00,
26,Total Tax Expenses,12.70,-19.65,22.83,23.18,22.55,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,64.18,127.89,184.00,55.75,141.70,
28,Profit/Loss From Continuing Operations,64.18,127.89,184.00,55.75,141.70,
29,Profit/Loss For The Period,64.18,127.89,184.00,55.75,-1162.14,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),0.40,0.80,1.15,0.35,-7.29,
33,Diluted EPS (Rs.),0.40,0.80,1.15,0.35,-7.29,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,502.85,119.73,39.90,0.00,0.00,
42,Tax On Dividend,82.03,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),32.00,0.00,8.00,3.00,0.00,
