,0,1,2,3,4,5,6
0,Profit & Loss account of IFB Industries (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2515.57,2498.33,2157.43,1875.80,1612.49,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,40.14,158.41,134.59,
5,Revenue From Operations [Net],2515.57,2498.33,2117.29,1717.39,1477.90,
6,Total Operating Revenues,2551.42,2539.87,2148.51,1740.65,1500.94,
7,Other Income,12.76,12.41,18.45,12.83,13.31,
8,Total Revenue,2564.18,2552.28,2166.96,1753.48,1514.25,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1002.09,1062.30,880.30,711.86,590.35,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",66.28,-47.82,-60.16,-13.78,16.79,
13,Employee Benefit Expenses,287.85,255.05,211.14,161.46,155.56,
14,Finance Costs,14.50,5.75,4.30,4.35,2.22,
15,Depreciation And Amortisation Expenses,88.98,54.54,51.38,43.59,45.37,
16,Other Expenses,701.07,674.63,576.32,470.48,415.23,
17,Total Expenses,2535.96,2475.43,2047.62,1685.30,1479.09,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",28.22,76.85,119.34,68.18,35.16,
19,Exceptional Items,1.48,19.35,0.00,0.00,0.00,
20,Profit/Loss Before Tax,29.70,96.20,119.34,68.18,35.16,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,1.72,29.05,36.55,14.89,3.85,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-0.01,-6.80,-0.46,-1.84,-0.05,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,1.71,22.25,36.09,13.05,3.80,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,27.99,73.95,83.25,55.13,31.36,
28,Profit/Loss From Continuing Operations,27.99,73.95,83.25,55.13,31.36,
29,Profit/Loss For The Period,27.99,73.95,83.25,55.13,31.36,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),6.91,18.25,20.55,13.61,7.74,
33,Diluted EPS (Rs.),6.91,18.25,20.55,13.61,7.74,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,177.88,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,412.47,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,9.83,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,64.80,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
