,0,1,2,3,4
0,Profit & Loss account of IIFL Wealth Management Limited (in Rs. Cr.),Mar 20,Mar 19,Mar 18,
1,,12 mths,12 mths,12 mths,
2,INCOME,,,,
3,Revenue From Operations [Gross],216.26,4.81,617.68,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,
5,Revenue From Operations [Net],216.26,4.81,617.68,
6,Total Operating Revenues,216.26,4.81,617.68,
7,Other Income,194.61,110.91,101.10,
8,Total Revenue,410.87,115.72,718.78,
9,EXPENSES,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,
11,Operating And Direct Expenses,3.13,0.08,28.63,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,
13,Employee Benefit Expenses,36.82,33.21,273.85,
14,Finance Costs,47.79,14.49,61.16,
15,Depreciation And Amortisation Expenses,11.39,12.90,12.68,
16,Other Expenses,32.42,27.10,135.59,
17,Total Expenses,131.56,87.54,510.92,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",279.31,28.18,207.86,
19,Exceptional Items,0.00,0.00,0.00,
20,Profit/Loss Before Tax,279.31,28.18,207.86,
21,Tax Expenses-Continued Operations,,,,
22,Current Tax,33.56,0.00,50.84,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,
24,Deferred Tax,-4.30,-13.85,-1.29,
25,Tax For Earlier Years,0.00,0.00,0.00,
26,Total Tax Expenses,29.27,-13.85,49.55,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,250.05,42.03,158.31,
28,Profit/Loss From Continuing Operations,250.05,42.03,158.31,
29,Profit/Loss For The Period,193.48,151.78,158.31,
30,OTHER ADDITIONAL INFORMATION,,,,
31,EARNINGS PER SHARE,,,,
32,Basic EPS (Rs.),22.47,18.09,20.01,
33,Diluted EPS (Rs.),21.95,17.57,19.37,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,
35,Imported Raw Materials,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,
38,Imported Stores And Spares,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,
41,Equity Share Dividend,174.01,84.79,78.50,
42,Tax On Dividend,0.00,0.00,0.00,
43,Equity Dividend Rate (%),3000.00,250.00,492.00,
