,0,1,2,3,4,5,6
0,Profit & Loss account of Interglobe Aviation (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],35368.86,28165.22,22500.52,18440.07,16042.49,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],35368.86,28165.22,22500.52,18440.07,16042.49,
6,Total Operating Revenues,35756.00,28496.77,23020.89,18580.50,16139.91,
7,Other Income,1536.24,1324.94,946.86,789.07,515.12,
8,Total Revenue,37292.24,29821.71,23967.74,19369.57,16655.03,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,3092.59,2588.73,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-3.05,-0.66,1.27,-0.29,-1.13,
13,Employee Benefit Expenses,4395.36,3137.79,2455.02,2048.19,1787.98,
14,Finance Costs,1875.87,508.96,339.82,330.78,304.12,
15,Depreciation And Amortisation Expenses,3973.61,759.58,436.88,457.25,505.47,
16,Other Expenses,5415.26,3490.52,6113.88,4798.58,3834.22,
17,Total Expenses,37567.33,29970.76,20841.07,17225.23,13831.52,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-275.09,-149.05,3126.68,2144.34,2823.51,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,-275.09,-149.05,3126.68,2144.34,2823.51,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,0.82,0.00,668.98,491.15,730.39,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-27.75,-305.18,215.32,-6.00,106.95,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,-26.93,-305.18,884.30,485.15,837.35,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-248.16,156.14,2242.37,1659.19,1986.16,
28,Profit/Loss From Continuing Operations,-248.16,156.14,2242.37,1659.19,1986.16,
29,Profit/Loss For The Period,-248.16,156.14,2242.37,1659.19,1986.16,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-6.45,4.06,60.03,45.94,58.06,
33,Diluted EPS (Rs.),-6.45,4.06,59.90,45.85,56.39,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,230.64,1229.73,542.20,1102.65,
42,Tax On Dividend,0.00,47.41,250.34,110.38,224.48,
43,Equity Dividend Rate (%),0.00,50.00,60.00,340.00,150.00,
