,0,1,2,3,4,5,6
0,Profit & Loss account of Infosys (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],85912.00,79047.00,73107.00,61941.00,59289.00,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],85912.00,79047.00,73107.00,61941.00,59289.00,
6,Total Operating Revenues,85912.00,79047.00,73107.00,61941.00,59289.00,
7,Other Income,2467.00,2700.00,2852.00,4019.00,3062.00,
8,Total Revenue,88379.00,81747.00,75959.00,65960.00,62351.00,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,13791.00,12633.00,6764.00,6044.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,45178.00,42434.00,38296.00,32472.00,30944.00,
14,Finance Costs,127.00,114.00,0.00,0.00,0.00,
15,Depreciation And Amortisation Expenses,2321.00,2144.00,1599.00,1408.00,1331.00,
16,Other Expenses,16276.00,2787.00,3504.00,5408.00,5094.00,
17,Total Expenses,63902.00,61270.00,56032.00,46052.00,43413.00,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",24477.00,20477.00,19927.00,19908.00,18938.00,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,24477.00,20477.00,19927.00,19908.00,18938.00,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,6429.00,5235.00,5189.00,4003.00,5068.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-301.00,36.00,-250.00,52.00,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,6429.00,4934.00,5225.00,3753.00,5120.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,18048.00,15543.00,14702.00,16155.00,13818.00,
28,Profit/Loss From Continuing Operations,18048.00,15543.00,14702.00,16155.00,13818.00,
29,Profit/Loss For The Period,18048.00,15543.00,14702.00,16155.00,13818.00,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),42.37,36.34,33.66,71.28,60.16,
33,Diluted EPS (Rs.),42.33,36.32,33.64,71.25,60.15,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,9553.00,13768.00,5623.00,6980.00,
42,Tax On Dividend,0.00,0.00,0.00,1877.00,0.00,
43,Equity Dividend Rate (%),540.00,350.00,430.00,870.00,515.00,
