,0,1,2,3,4,5,6
0,Profit & Loss account of Ircon International (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],5187.99,4387.01,3854.78,3018.98,2414.35,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],5187.99,4387.01,3854.78,3018.98,2414.35,
6,Total Operating Revenues,5202.45,4415.10,3890.64,3024.23,2430.43,
7,Other Income,239.27,264.44,230.80,230.20,403.92,
8,Total Revenue,5441.72,4679.54,4121.44,3254.43,2834.35,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,349.71,390.69,349.29,0.00,0.00,
11,Operating And Direct Expenses,4057.06,3512.15,2890.57,2478.84,1888.07,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",15.89,-169.37,-10.56,0.00,0.00,
13,Employee Benefit Expenses,261.37,250.70,232.75,150.37,176.27,
14,Finance Costs,27.31,15.57,64.80,60.61,43.19,
15,Depreciation And Amortisation Expenses,15.93,11.70,12.86,17.87,28.22,
16,Other Expenses,41.88,52.92,51.38,88.89,121.99,
17,Total Expenses,4769.15,4064.36,3591.09,2796.58,2257.73,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",672.57,615.18,530.35,457.85,576.62,
19,Exceptional Items,0.00,0.00,0.00,73.69,0.00,
20,Profit/Loss Before Tax,672.57,615.18,530.35,531.54,576.62,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,158.43,215.13,174.78,118.64,150.05,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,50.94,6.26,10.17,61.26,52.29,
25,Tax For Earlier Years,-26.58,-50.89,-42.50,-17.21,4.98,
26,Total Tax Expenses,182.79,170.50,142.45,162.69,207.32,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,489.78,444.68,387.90,368.85,369.30,
28,Profit/Loss From Continuing Operations,489.78,444.68,387.90,368.85,369.30,
29,Profit/Loss For The Period,489.78,444.68,387.90,368.85,369.30,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),52.08,47.28,39.70,37.27,37.31,
33,Diluted EPS (Rs.),52.08,47.28,39.70,37.27,37.31,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,60.02,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,200.59,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,228.31,198.07,192.40,184.23,182.12,
42,Tax On Dividend,46.93,40.72,39.17,37.51,37.08,
43,Equity Dividend Rate (%),238.00,215.00,205.00,550.00,850.00,
