,0,1,2,3,4,5,6
0,Profit & Loss account of India Tourism Development Corporation (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],334.70,349.10,338.92,329.58,435.67,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],334.70,349.10,338.92,329.58,435.67,
6,Total Operating Revenues,336.27,349.96,339.71,330.77,437.13,
7,Other Income,21.22,21.77,26.71,25.34,28.56,
8,Total Revenue,357.49,371.72,366.42,356.11,465.69,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,64.42,60.09,58.25,62.32,57.30,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-0.29,0.10,0.27,1.43,-1.81,
13,Employee Benefit Expenses,118.96,111.75,140.51,110.19,131.84,
14,Finance Costs,0.92,0.53,0.48,0.57,0.43,
15,Depreciation And Amortisation Expenses,7.20,7.12,6.87,6.18,8.03,
16,Other Expenses,119.38,143.22,143.05,132.32,217.71,
17,Total Expenses,318.74,331.55,357.15,321.04,423.54,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",38.75,40.18,9.27,35.07,42.15,
19,Exceptional Items,3.93,22.05,30.85,-10.86,-8.10,
20,Profit/Loss Before Tax,42.68,62.23,40.12,24.21,34.05,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,13.19,13.91,15.98,12.72,12.30,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,5.29,5.17,-7.29,-4.64,-2.43,
25,Tax For Earlier Years,-1.93,-1.21,0.05,-0.02,0.00,
26,Total Tax Expenses,16.56,17.86,8.75,8.06,9.86,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,26.12,44.37,31.37,16.14,24.19,
28,Profit/Loss From Continuing Operations,26.12,44.37,31.37,16.14,22.55,
29,Profit/Loss For The Period,22.48,42.16,17.71,11.43,22.55,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),2.15,5.12,1.54,1.24,2.63,
33,Diluted EPS (Rs.),2.15,5.12,1.54,1.24,2.63,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,18.01,15.87,11.41,12.87,12.87,
42,Tax On Dividend,3.70,3.23,0.89,2.62,2.62,
43,Equity Dividend Rate (%),21.00,21.00,19.00,13.00,15.00,
