,0,1,2,3,4,5,6
0,Profit & Loss account of Jammu and Kashmir Bank (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Interest / Discount on Advances / Bills,6572.50,5935.24,4977.74,4784.35,5027.66,
4,Income from Investments,1607.61,1551.99,1431.58,1782.61,1646.65,
5,Interest on Balance with RBI and Other Inter-Bank funds,266.03,159.79,211.68,117.21,169.26,
6,Others,0.15,28.54,0.40,1.63,0.00,
7,Total Interest Earned,8446.29,7675.56,6621.40,6685.80,6843.57,
8,Other Income,545.92,812.63,495.31,492.86,504.03,
9,Total Income,8992.21,8488.19,7116.71,7178.66,7347.60,
10,EXPENDITURE,,,,,,
11,Interest Expended,4739.62,4291.63,3750.61,4173.86,4133.48,
12,Payments to and Provisions for Employees,1886.05,1646.18,1286.89,1122.54,1019.59,
13,Depreciation,125.40,104.09,96.55,85.08,63.99,
14,Operating Expenses (excludes Employee Cost & Depreciation),716.09,728.39,600.79,502.84,462.62,
15,Total Operating Expenses,2727.54,2478.66,1984.23,1710.46,1546.20,
16,Provision Towards Income Tax,71.91,272.24,157.00,145.87,255.75,
17,Provision Towards Deferred Tax,-32.55,-77.39,-238.76,-19.55,19.90,
18,Other Provisions and Contingencies,2625.10,1058.17,0.00,2800.30,976.23,
19,Total Provisions and Contingencies,2664.46,1253.02,1179.16,2926.62,1251.88,
20,Total Expenditure,10131.62,8023.31,6913.99,8810.95,6931.57,
21,Net Profit / Loss for The Year,-1139.41,464.88,202.72,-1632.29,416.03,
22,Net Profit / Loss After EI & Prior Year Items,-1139.41,464.88,202.72,-1632.29,416.03,
23,Profit / Loss Brought Forward,0.00,0.00,0.00,0.00,0.00,
24,Total Profit / Loss available for Appropriations,-1139.41,464.88,202.72,-1632.29,416.03,
25,APPROPRIATIONS,,,,,,
26,Transfer To / From Statutory Reserve,0.00,116.22,50.68,0.00,104.01,
27,Transfer To / From Capital Reserve,30.46,20.15,0.00,7.72,0.00,
28,Transfer To / From Revenue And Other Reserves,-1169.87,328.51,152.04,-1640.01,207.46,
29,Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
30,Equity Share Dividend,0.00,0.00,0.00,0.00,84.84,
31,Tax On Dividend,0.00,0.00,0.00,0.00,17.27,
32,Balance Carried Over To Balance Sheet,0.00,0.00,0.00,0.00,0.00,
33,Total Appropriations,-1139.41,464.88,202.72,-1632.29,416.03,
34,OTHER INFORMATION,,,,,,
35,EARNINGS PER SHARE,,,,,,
36,Basic EPS (Rs.),-15.97,8.35,3.64,-33.59,8.58,
37,Diluted EPS (Rs.),-15.97,8.35,3.64,-33.59,8.58,
38,DIVIDEND PERCENTAGE,,,,,,
39,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,175.00,
