,0,1,2,3,4,5,6
0,Profit & Loss account of Johnson Controls -Hitachi Air Conditioning India (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1646.54,2180.11,2223.07,2242.59,2085.78,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,72.88,181.25,
5,Revenue From Operations [Net],1646.54,2180.11,2223.07,2169.71,1904.53,
6,Total Operating Revenues,1646.54,2197.37,2241.30,2185.39,1917.30,
7,Other Income,7.90,8.15,15.42,7.39,6.78,
8,Total Revenue,1654.44,2205.52,2256.72,2192.78,1924.08,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,746.48,1186.59,1042.27,842.50,704.67,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",72.39,-167.02,-102.45,17.57,61.10,
13,Employee Benefit Expenses,167.34,174.54,165.15,140.98,122.23,
14,Finance Costs,13.56,5.02,2.69,1.98,4.39,
15,Depreciation And Amortisation Expenses,75.48,56.29,44.16,52.92,51.85,
16,Other Expenses,330.09,453.25,468.46,427.90,407.47,
17,Total Expenses,1618.12,2086.46,2124.35,2041.42,1805.78,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",36.32,119.06,132.37,151.36,118.30,
19,Exceptional Items,7.11,-0.75,0.00,0.00,0.00,
20,Profit/Loss Before Tax,43.43,118.31,132.37,151.36,118.30,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,10.33,32.40,49.15,56.97,41.24,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,2.38,-2.72,-5.76,-4.27,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,10.33,34.78,46.43,51.21,36.97,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,33.10,83.53,85.94,100.15,81.33,
28,Profit/Loss From Continuing Operations,33.10,83.53,85.94,100.15,81.33,
29,Profit/Loss For The Period,33.10,83.53,85.94,100.15,81.33,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),12.20,30.70,31.60,36.80,29.90,
33,Diluted EPS (Rs.),12.20,30.70,31.60,36.80,29.90,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,4.92,4.92,4.91,4.91,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,15.00,15.00,15.00,
