,0,1,2,3,4,5,6
0,Profit & Loss account of Jindal Saw (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],8631.81,9697.21,9417.69,7046.83,5647.21,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,53.36,237.24,
5,Revenue From Operations [Net],8631.81,9697.21,9417.69,6993.48,5409.97,
6,Total Operating Revenues,8631.81,10128.72,9829.49,7281.55,5678.32,
7,Other Income,277.99,198.72,221.10,220.97,235.04,
8,Total Revenue,8909.80,10327.44,10050.59,7502.52,5913.36,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,5156.22,5715.63,5914.89,4505.32,3111.66,
11,Operating And Direct Expenses,0.00,0.00,0.00,777.65,835.04,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-69.06,267.50,-113.99,-225.48,-103.19,
13,Employee Benefit Expenses,685.37,656.30,577.17,513.36,465.01,
14,Finance Costs,404.33,515.57,496.11,415.11,379.87,
15,Depreciation And Amortisation Expenses,345.98,310.38,281.42,256.17,229.40,
16,Other Expenses,1857.78,1842.16,1686.22,672.00,408.09,
17,Total Expenses,8403.03,9601.01,9311.60,6914.13,5325.88,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",506.77,726.43,738.99,588.40,587.48,
19,Exceptional Items,0.00,-134.83,0.00,0.00,3.06,
20,Profit/Loss Before Tax,506.77,591.60,738.99,588.40,590.54,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,177.72,254.96,221.08,118.25,120.52,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-257.82,19.83,75.84,83.95,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,177.72,-2.86,240.91,194.09,204.47,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,329.05,594.46,498.09,394.31,386.07,
28,Profit/Loss From Continuing Operations,329.05,594.46,498.09,394.31,386.07,
29,Profit/Loss For The Period,329.05,594.46,500.07,385.80,307.70,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),10.34,18.59,15.64,12.06,9.62,
33,Diluted EPS (Rs.),10.34,18.59,15.64,12.06,9.62,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,77.10,46.26,38.49,38.49,
42,Tax On Dividend,0.00,0.00,0.00,3.58,3.58,
43,Equity Dividend Rate (%),100.00,100.00,100.00,60.00,50.00,
