,0,1,2,3,4,5,6
0,Profit & Loss account of JK Paper (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2741.60,3014.13,3233.64,2826.25,2736.83,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,33.22,135.42,
5,Revenue From Operations [Net],2741.60,3014.13,3233.64,2793.03,2601.41,
6,Total Operating Revenues,2741.60,3054.30,3256.30,2844.27,2628.61,
7,Other Income,70.16,81.16,55.77,25.77,26.45,
8,Total Revenue,2811.76,3135.46,3312.07,2870.04,2655.06,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1032.55,1216.87,1278.11,1254.37,1268.40,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",91.23,-123.60,47.19,-10.36,-4.69,
13,Employee Benefit Expenses,260.33,277.20,262.26,231.71,217.97,
14,Finance Costs,94.37,122.81,122.40,143.02,187.64,
15,Depreciation And Amortisation Expenses,153.62,143.56,125.30,120.89,119.53,
16,Other Expenses,461.67,500.13,496.93,470.74,411.84,
17,Total Expenses,2358.34,2416.87,2633.72,2494.85,2423.35,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",453.42,718.59,678.35,375.19,231.71,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,453.42,718.59,678.35,375.19,231.71,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,131.23,215.38,144.99,73.03,47.42,
23,Less: MAT Credit Entitlement,0.00,-1.93,99.24,69.41,46.59,
24,Deferred Tax,0.00,8.57,195.40,111.43,68.05,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,131.23,225.88,241.15,115.05,68.88,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,322.19,492.71,437.20,260.14,162.83,
28,Profit/Loss From Continuing Operations,322.19,492.71,437.20,260.14,162.83,
29,Profit/Loss For The Period,322.19,492.71,437.20,260.14,162.83,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),18.68,27.64,24.57,15.29,10.79,
33,Diluted EPS (Rs.),18.68,27.64,24.51,14.65,9.45,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,161.16,53.72,29.50,7.43,
42,Tax On Dividend,0.00,0.00,0.00,0.00,1.51,
43,Equity Dividend Rate (%),40.00,40.00,35.00,25.00,15.00,
