,0,1,2,3,4,5,6
0,Profit & Loss account of JSW Energy (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],4298.00,5115.28,4209.30,4039.00,5860.55,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],4298.00,5115.28,4209.30,4039.00,5860.55,
6,Total Operating Revenues,4313.99,5118.33,4212.05,4040.97,5862.63,
7,Other Income,197.90,362.78,493.71,328.55,398.08,
8,Total Revenue,4511.89,5481.11,4705.76,4369.52,6260.71,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,118.71,130.84,107.00,120.10,116.23,
14,Finance Costs,321.95,411.79,476.21,533.04,644.08,
15,Depreciation And Amortisation Expenses,369.27,365.02,364.21,363.90,353.52,
16,Other Expenses,226.71,209.44,248.80,260.73,271.88,
17,Total Expenses,4111.04,5090.83,4345.53,4032.64,4697.63,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",400.85,390.28,360.23,336.88,1563.08,
19,Exceptional Items,23.02,0.00,-659.18,0.00,0.00,
20,Profit/Loss Before Tax,423.87,390.28,-298.95,336.88,1563.08,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,5.50,70.37,106.56,73.16,381.01,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-79.44,68.46,38.77,68.97,0.00,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,-73.94,138.83,145.33,142.13,381.01,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,497.81,251.45,-444.28,194.75,1182.07,
28,Profit/Loss From Continuing Operations,497.81,251.45,-444.28,194.75,1182.07,
29,Profit/Loss For The Period,497.81,251.45,-444.28,194.75,1182.07,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),3.03,1.53,-2.71,1.20,7.27,
33,Diluted EPS (Rs.),3.03,1.53,-2.71,1.20,7.27,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,164.12,0.00,81.45,325.43,325.28,
42,Tax On Dividend,33.74,0.00,8.41,60.89,66.78,
43,Equity Dividend Rate (%),10.00,10.00,0.00,5.00,20.00,
