,0,1,2,3,4,5,6
0,Profit & Loss account of Jubilant Pharmova (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],3095.02,3393.38,3297.73,2578.95,2742.32,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,36.68,131.77,134.80,
5,Revenue From Operations [Net],3095.02,3393.38,3261.04,2447.19,2607.52,
6,Total Operating Revenues,3139.90,3438.61,3306.32,2491.22,2656.17,
7,Other Income,173.23,78.00,46.21,51.90,61.74,
8,Total Revenue,3313.13,3516.61,3352.54,2543.12,2717.91,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1683.29,1874.60,1644.45,1244.35,1348.32,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-108.32,46.74,-18.10,-57.02,-11.39,
13,Employee Benefit Expenses,264.90,265.71,264.42,226.31,217.12,
14,Finance Costs,136.20,128.96,135.17,174.26,202.43,
15,Depreciation And Amortisation Expenses,107.40,86.48,82.60,81.13,86.86,
16,Other Expenses,819.67,799.22,722.26,639.88,644.05,
17,Total Expenses,3012.59,3333.18,2984.84,2428.59,2604.57,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",300.54,183.43,367.69,114.52,113.34,
19,Exceptional Items,-1.70,0.00,0.00,0.00,-21.93,
20,Profit/Loss Before Tax,298.84,183.43,367.69,114.52,91.41,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,26.13,31.08,75.37,20.57,18.45,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,8.15,8.02,
24,Deferred Tax,-48.43,4.72,28.89,22.91,1.91,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,-22.30,35.80,104.25,35.33,12.34,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,321.14,147.63,263.44,79.19,79.07,
28,Profit/Loss From Continuing Operations,321.14,147.63,263.44,79.19,79.07,
29,Profit/Loss For The Period,321.14,147.63,263.44,79.19,79.07,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),20.16,9.27,16.54,4.97,4.96,
33,Diluted EPS (Rs.),20.16,9.27,16.54,4.97,4.96,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,995.85,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,352.46,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,8.80,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,105.30,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,151.32,47.78,47.78,47.78,47.78,
42,Tax On Dividend,1.52,8.35,7.27,5.80,3.71,
43,Equity Dividend Rate (%),500.00,450.00,300.00,300.00,300.00,
