,0,1,2,3,4,5,6
0,Profit & Loss account of Just Dial (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],675.18,976.23,916.21,804.96,709.81,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],675.18,976.23,916.21,804.96,709.81,
6,Total Operating Revenues,675.18,976.23,916.21,804.96,718.61,
7,Other Income,149.52,116.59,68.25,42.67,87.06,
8,Total Revenue,824.70,1092.82,984.46,847.63,805.67,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,443.19,532.94,497.14,441.58,440.88,
14,Finance Costs,7.40,8.91,0.13,0.00,0.00,
15,Depreciation And Amortisation Expenses,42.33,52.07,33.65,36.42,40.14,
16,Other Expenses,77.11,147.25,165.43,175.77,168.17,
17,Total Expenses,570.03,741.17,696.35,653.77,649.19,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",254.67,351.65,288.11,193.86,156.48,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,254.67,351.65,288.11,193.86,156.48,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,40.48,64.88,59.89,39.78,32.58,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,14.46,21.42,10.90,2.56,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,40.48,79.34,81.31,50.68,35.14,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,214.19,272.31,206.80,143.18,121.34,
28,Profit/Loss From Continuing Operations,214.19,272.31,206.80,143.18,121.34,
29,Profit/Loss For The Period,214.19,272.31,206.80,143.18,121.34,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),33.92,42.00,30.95,20.97,17.46,
33,Diluted EPS (Rs.),33.00,41.81,30.88,20.95,17.35,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
