,0,1,2,3,4,5,6
0,Profit & Loss account of Kajaria Ceramics (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2569.56,2723.82,2626.24,2717.98,2607.63,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,47.57,192.15,166.41,
5,Revenue From Operations [Net],2569.56,2723.82,2578.67,2525.83,2441.22,
6,Total Operating Revenues,2571.80,2726.07,2580.68,2527.96,2448.04,
7,Other Income,50.56,34.81,23.51,25.34,17.61,
8,Total Revenue,2622.36,2760.88,2604.19,2553.30,2465.65,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,468.03,513.54,483.15,403.95,345.04,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,303.49,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-24.24,-31.46,-6.96,-12.87,-8.99,
13,Employee Benefit Expenses,265.20,264.04,247.54,220.52,190.04,
14,Finance Costs,8.53,3.39,4.48,3.54,9.32,
15,Depreciation And Amortisation Expenses,78.85,63.45,61.76,53.20,47.20,
16,Other Expenses,646.64,713.60,609.94,544.84,190.84,
17,Total Expenses,2283.03,2392.55,2219.03,2146.04,2112.71,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",339.33,368.33,385.16,407.26,352.94,
19,Exceptional Items,0.00,4.78,-3.61,0.00,-1.51,
20,Profit/Loss Before Tax,339.33,373.11,381.55,407.26,351.43,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,93.20,129.34,123.78,122.17,105.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-32.67,-2.13,5.45,14.93,11.66,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,-0.12,
26,Total Tax Expenses,60.53,127.21,129.23,137.10,116.54,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,278.80,245.90,252.32,270.16,234.89,
28,Profit/Loss From Continuing Operations,278.80,245.90,252.32,270.16,234.89,
29,Profit/Loss For The Period,278.80,245.90,252.32,270.16,234.89,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),17.54,15.47,15.88,17.00,29.56,
33,Diluted EPS (Rs.),17.54,15.46,15.83,16.95,29.52,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,2.27,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,342.77,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,95.38,47.69,28.37,39.74,39.74,
42,Tax On Dividend,19.60,9.80,9.71,8.09,8.09,
43,Equity Dividend Rate (%),300.00,300.00,300.00,300.00,250.00,
