,0,1,2,3,4,5,6
0,Profit & Loss account of Kalpataru Power Transmission (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],7671.00,7810.41,7004.01,5688.49,4954.82,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,37.31,116.68,
5,Revenue From Operations [Net],7671.00,7810.41,7004.01,5651.18,4838.14,
6,Total Operating Revenues,7671.00,7904.03,7115.12,5741.20,4894.06,
7,Other Income,79.00,58.39,51.20,48.01,49.34,
8,Total Revenue,7750.00,7962.42,7166.32,5789.21,4943.40,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2775.00,3329.70,2948.55,2641.60,2034.33,
11,Operating And Direct Expenses,0.00,2634.78,2296.57,1500.58,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",18.00,-62.15,4.61,-20.63,1.10,
13,Employee Benefit Expenses,551.00,525.67,454.10,348.74,291.80,
14,Finance Costs,109.00,166.23,119.01,103.29,98.18,
15,Depreciation And Amortisation Expenses,115.00,110.48,85.99,76.60,77.70,
16,Other Expenses,3519.00,615.98,633.10,639.70,2037.72,
17,Total Expenses,7087.00,7320.69,6541.93,5289.87,4540.83,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",663.00,641.73,624.39,499.34,402.57,
19,Exceptional Items,168.00,23.94,0.00,0.00,0.00,
20,Profit/Loss Before Tax,831.00,665.67,624.39,499.34,402.57,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,216.00,171.20,221.30,170.50,145.83,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,31.42,1.79,6.84,-12.33,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,216.00,202.62,223.09,177.34,133.50,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,615.00,463.05,401.30,322.00,269.07,
28,Profit/Loss From Continuing Operations,615.00,463.05,401.30,322.00,269.07,
29,Profit/Loss For The Period,615.00,463.05,401.30,322.00,269.07,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),40.57,30.02,26.15,20.98,17.54,
33,Diluted EPS (Rs.),40.57,30.02,26.15,20.98,17.54,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,522.56,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,1511.76,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,119.16,38.37,30.69,0.00,
42,Tax On Dividend,0.00,0.00,6.49,5.56,0.00,
43,Equity Dividend Rate (%),500.00,175.00,150.00,125.00,100.00,
