,0,1,2,3,4,5,6
0,Profit & Loss account of KEC International (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],11851.79,10294.58,9939.96,8955.60,7634.21,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,38.35,170.65,
5,Revenue From Operations [Net],11851.79,10294.58,9939.96,8917.26,7463.56,
6,Total Operating Revenues,11851.79,10470.62,10117.80,9037.39,7566.44,
7,Other Income,28.02,13.87,38.12,22.60,37.08,
8,Total Revenue,11879.81,10484.49,10155.92,9059.99,7603.52,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,4845.99,4776.64,4910.58,4676.24,3599.92,
11,Operating And Direct Expenses,0.00,2822.53,2713.36,2126.52,1773.41,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-3.58,-71.44,20.36,-64.55,1.63,
13,Employee Benefit Expenses,767.37,742.69,629.96,562.12,505.92,
14,Finance Costs,241.35,276.96,284.15,195.81,208.83,
15,Depreciation And Amortisation Expenses,121.78,117.69,105.52,95.43,115.39,
16,Other Expenses,5010.28,1074.14,756.80,826.94,974.89,
17,Total Expenses,10983.19,9739.21,9420.73,8418.51,7179.98,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",896.62,745.28,735.19,641.48,423.53,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,896.62,745.28,735.19,641.48,423.53,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,250.53,265.93,229.68,216.00,116.67,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-66.38,7.82,-4.57,25.04,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,250.53,199.55,237.50,211.43,141.71,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,646.09,545.73,497.69,430.05,281.82,
28,Profit/Loss From Continuing Operations,646.09,545.73,497.69,430.05,281.82,
29,Profit/Loss For The Period,646.09,545.73,497.69,430.05,281.82,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),25.13,21.23,19.36,16.73,10.96,
33,Diluted EPS (Rs.),25.13,21.23,19.36,16.73,10.96,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,156.61,61.70,49.51,0.00,
42,Tax On Dividend,0.00,32.24,12.56,8.37,0.00,
43,Equity Dividend Rate (%),200.00,170.00,135.00,120.00,80.00,
