,0,1,2,3,4,5,6
0,Profit & Loss account of KNR Constructions (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2702.63,2221.99,2102.89,1875.64,1532.54,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],2702.63,2221.99,2102.89,1875.64,1532.54,
6,Total Operating Revenues,2702.63,2244.24,2137.26,1931.65,1541.05,
7,Other Income,49.65,56.59,63.39,39.31,30.28,
8,Total Revenue,2752.28,2300.83,2200.64,1970.97,1571.33,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,926.45,753.28,643.20,505.51,335.09,
11,Operating And Direct Expenses,0.00,823.78,936.35,929.79,893.05,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,132.09,125.22,92.86,72.12,55.24,
14,Finance Costs,48.73,47.41,29.10,23.14,21.90,
15,Depreciation And Amortisation Expenses,144.37,191.85,168.11,134.15,63.87,
16,Other Expenses,1108.25,54.89,37.88,38.10,28.10,
17,Total Expenses,2359.90,1996.43,1907.50,1702.82,1397.25,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",392.38,304.40,293.14,268.15,174.08,
19,Exceptional Items,-11.25,-10.72,-2.55,0.00,-10.87,
20,Profit/Loss Before Tax,381.13,293.68,290.59,268.15,163.22,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,136.96,97.74,60.47,55.22,35.81,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-29.35,-33.63,-58.96,-29.82,
25,Tax For Earlier Years,0.00,0.06,0.50,-0.19,-0.02,
26,Total Tax Expenses,136.96,68.46,27.33,-3.94,5.97,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,244.18,225.22,263.27,272.09,157.25,
28,Profit/Loss From Continuing Operations,244.18,225.22,263.27,272.09,157.25,
29,Profit/Loss For The Period,244.18,225.22,263.27,272.09,157.25,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),8.68,16.02,18.72,19.35,11.18,
33,Diluted EPS (Rs.),8.68,16.02,18.72,19.35,11.18,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,12.66,5.62,7.03,0.00,
42,Tax On Dividend,0.00,2.60,1.16,1.43,0.00,
43,Equity Dividend Rate (%),13.00,25.00,20.00,20.00,25.00,
