,0,1,2,3,4,5,6
0,Profit & Loss account of Kotak Mahindra Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Interest / Discount on Advances / Bills,18589.08,20999.24,18371.25,14727.95,13402.10,
4,Income from Investments,6833.41,5257.25,4872.77,3933.00,3681.04,
5,Interest on Balance with RBI and Other Inter-Bank funds,1174.74,381.24,381.42,755.29,218.32,
6,Others,243.05,291.89,317.76,332.25,397.47,
7,Total Interest Earned,26840.28,26929.61,23943.21,19748.50,17698.93,
8,Other Income,5459.19,5372.11,4604.03,4052.21,3477.16,
9,Total Income,32299.47,32301.72,28547.23,23800.70,21176.09,
10,EXPENDITURE,,,,,,
11,Interest Expended,11500.62,13429.95,12684.25,10216.81,9572.78,
12,Payments to and Provisions for Employees,3729.13,3911.12,3183.61,2950.23,2768.53,
13,Depreciation,0.00,371.95,366.92,302.69,290.66,
14,Operating Expenses (excludes Employee Cost & Depreciation),4855.01,4567.87,3964.27,3172.80,2559.30,
15,Total Operating Expenses,8584.14,8850.94,7514.80,6425.72,5618.50,
16,Provision Towards Income Tax,2338.15,1996.67,2504.34,2080.60,1800.31,
17,Provision Towards Deferred Tax,0.00,-139.18,16.12,53.32,-63.74,
18,Other Provisions and Contingencies,2911.72,2216.17,962.39,939.95,836.74,
19,Total Provisions and Contingencies,5249.87,4073.66,3482.85,3073.87,2573.31,
20,Total Expenditure,25334.63,26354.54,23681.90,19716.40,17764.59,
21,Net Profit / Loss for The Year,6964.84,5947.18,4865.33,4084.30,3411.50,
22,Net Profit / Loss After EI & Prior Year Items,6964.84,5947.18,4865.33,4084.30,3411.50,
23,Profit / Loss Brought Forward,0.00,16919.29,13604.60,10756.29,8214.12,
24,Total Profit / Loss available for Appropriations,0.00,22866.47,18469.93,14840.59,11625.62,
25,APPROPRIATIONS,,,,,,
26,Transfer To / From Statutory Reserve,0.00,1486.80,1216.34,1021.08,852.88,
27,Transfer To / From Capital Reserve,0.00,114.84,6.99,24.00,10.55,
28,Transfer To / From Revenue And Other Reserves,0.00,481.74,1.40,0.00,0.00,
29,Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
30,Equity Share Dividend,0.00,0.00,160.28,114.21,0.07,
31,Tax On Dividend,0.00,29.09,23.68,21.70,-0.68,
32,Balance Carried Over To Balance Sheet,0.00,20511.81,16919.29,13604.60,10756.29,
33,Total Appropriations,0.00,22866.47,18469.93,14840.59,11625.62,
34,OTHER INFORMATION,,,,,,
35,EARNINGS PER SHARE,,,,,,
36,Basic EPS (Rs.),35.17,30.88,25.52,21.54,18.57,
37,Diluted EPS (Rs.),35.14,30.84,25.48,21.51,18.55,
38,DIVIDEND PERCENTAGE,,,,,,
39,Equity Dividend Rate (%),18.00,0.00,16.00,14.00,12.00,
