,0,1,2,3,4,5,6
0,Profit & Loss account of Dr Lal PathLabs (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1490.50,1273.40,1164.85,1024.01,881.88,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],1490.50,1273.40,1164.85,1024.01,881.88,
6,Total Operating Revenues,1490.50,1273.60,1164.90,1024.04,881.88,
7,Other Income,51.30,57.60,46.49,31.51,28.28,
8,Total Revenue,1541.80,1331.20,1211.39,1055.56,910.16,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,373.90,0.00,0.00,219.31,191.25,
11,Operating And Direct Expenses,0.00,286.90,254.96,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,257.40,232.10,201.86,175.09,147.31,
14,Finance Costs,14.80,14.70,0.74,0.82,0.70,
15,Depreciation And Amortisation Expenses,69.80,68.00,36.18,31.05,26.44,
16,Other Expenses,451.80,426.80,425.28,373.54,313.21,
17,Total Expenses,1167.70,1028.50,919.03,799.80,678.90,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",374.10,302.70,292.37,255.76,231.26,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,374.10,302.70,292.37,255.76,231.26,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,94.00,80.20,100.54,90.87,79.50,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-0.70,-3.62,-3.38,-0.73,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,94.00,79.50,96.93,87.49,78.78,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,280.10,223.20,195.44,168.27,152.48,
28,Profit/Loss From Continuing Operations,280.10,223.20,195.44,168.27,152.48,
29,Profit/Loss For The Period,280.10,223.20,195.44,168.27,152.48,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),33.93,27.09,23.74,20.54,18.76,
33,Diluted EPS (Rs.),33.85,27.04,23.69,20.52,18.69,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,127.70,54.36,31.44,36.55,
42,Tax On Dividend,0.00,25.70,0.00,0.00,0.00,
43,Equity Dividend Rate (%),200.00,120.00,60.00,45.00,30.00,
