,0,1,2,3,4,5,6
0,Profit & Loss account of La Opala RG (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],211.28,267.59,274.25,256.56,237.69,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.16,5.81,
5,Revenue From Operations [Net],211.28,267.59,274.25,256.39,231.88,
6,Total Operating Revenues,211.28,270.01,278.10,259.29,235.25,
7,Other Income,8.08,16.69,17.40,13.28,11.89,
8,Total Revenue,219.36,286.70,295.50,272.57,247.14,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,30.50,50.09,53.77,44.32,43.48,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",25.33,-7.88,-15.51,2.81,6.93,
13,Employee Benefit Expenses,40.14,48.57,44.48,37.81,34.35,
14,Finance Costs,0.25,0.57,0.61,0.84,1.34,
15,Depreciation And Amortisation Expenses,12.23,15.97,16.46,13.78,12.44,
16,Other Expenses,45.76,74.27,82.29,66.70,61.90,
17,Total Expenses,155.37,182.06,182.87,167.11,161.15,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",63.99,104.65,112.62,105.46,85.99,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,63.99,104.65,112.62,105.46,85.99,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,14.41,25.18,36.61,33.56,18.33,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-4.80,1.97,-1.53,5.48,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,14.41,20.38,38.59,32.02,23.80,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,49.57,84.27,74.04,73.44,62.19,
28,Profit/Loss From Continuing Operations,49.57,84.27,74.04,73.44,62.19,
29,Profit/Loss For The Period,49.57,84.27,74.04,73.44,62.19,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),4.47,7.59,6.67,12.95,11.20,
33,Diluted EPS (Rs.),4.47,7.59,6.67,12.95,11.20,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,26.64,12.21,11.10,9.99,
42,Tax On Dividend,0.00,5.48,2.51,2.26,2.03,
43,Equity Dividend Rate (%),75.00,60.00,60.00,55.00,100.00,
