,0,1,2,3,4,5,6
0,Profit & Loss account of Laurus Labs (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],4768.72,2724.62,2184.94,1980.27,1879.24,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,12.45,26.39,
5,Revenue From Operations [Net],4768.72,2724.62,2184.94,1967.82,1852.85,
6,Total Operating Revenues,4768.72,2797.34,2236.15,2026.84,1891.92,
7,Other Income,27.32,4.87,15.26,28.13,30.46,
8,Total Revenue,4796.04,2802.20,2251.41,2054.97,1922.38,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2375.35,1604.76,1215.47,1054.50,1015.68,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-296.45,-218.09,-28.92,-25.11,-36.08,
13,Employee Benefit Expenses,401.88,324.00,269.72,238.14,195.79,
14,Finance Costs,65.92,86.77,84.97,74.73,95.49,
15,Depreciation And Amortisation Expenses,196.64,183.85,160.53,121.23,103.78,
16,Other Expenses,681.84,500.56,406.04,323.55,289.74,
17,Total Expenses,3521.41,2497.72,2130.19,1814.06,1677.36,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1274.63,304.48,121.22,240.91,245.02,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,1274.63,304.48,121.22,240.91,245.02,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,318.52,53.00,24.83,53.11,53.31,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-15.57,1.39,13.12,-6.67,
25,Tax For Earlier Years,0.00,0.00,0.00,1.54,-1.58,
26,Total Tax Expenses,318.52,37.44,26.23,67.77,45.06,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,956.11,267.05,94.99,173.14,199.96,
28,Profit/Loss From Continuing Operations,956.11,267.05,94.99,173.14,199.96,
29,Profit/Loss For The Period,956.11,267.05,94.99,173.14,199.96,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),17.83,25.03,8.94,16.35,21.85,
33,Diluted EPS (Rs.),17.77,25.03,8.92,16.28,21.85,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,32.00,15.90,15.86,3.15,
42,Tax On Dividend,0.00,6.58,3.27,3.23,1.01,
43,Equity Dividend Rate (%),100.00,25.00,15.00,15.00,15.00,
