,0,1,2,3,4,5,6
0,Profit & Loss account of L&T Technology Services (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],4964.00,5181.30,4712.00,3506.60,3112.50,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],4964.00,5181.30,4712.00,3506.60,3112.50,
6,Total Operating Revenues,4964.00,5181.30,4712.00,3506.60,3112.50,
7,Other Income,174.30,212.30,151.20,188.10,54.60,
8,Total Revenue,5138.30,5393.60,4863.20,3694.70,3167.10,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,3007.70,2965.90,2905.70,2283.80,1973.80,
14,Finance Costs,43.50,35.10,1.10,0.40,0.80,
15,Depreciation And Amortisation Expenses,173.70,153.40,73.10,57.60,57.50,
16,Other Expenses,1018.30,1184.20,940.80,671.80,535.40,
17,Total Expenses,4243.20,4338.60,3921.80,3013.60,2567.50,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",895.10,1055.00,941.40,681.10,599.60,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,895.10,1055.00,941.40,681.10,599.60,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,222.00,208.30,227.40,187.60,142.10,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,56.70,13.90,4.10,8.50,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,222.00,265.00,241.30,191.70,150.60,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,673.10,790.00,700.10,489.40,449.00,
28,Profit/Loss From Continuing Operations,673.10,790.00,700.10,489.40,449.00,
29,Profit/Loss For The Period,673.10,790.00,700.10,489.40,449.00,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),64.25,75.82,67.72,47.97,44.52,
33,Diluted EPS (Rs.),63.83,74.99,66.67,46.59,41.94,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,218.70,202.40,81.70,90.50,
42,Tax On Dividend,0.00,44.90,41.60,16.60,18.40,
43,Equity Dividend Rate (%),1100.00,1050.00,1050.00,800.00,350.00,
