,0,1,2,3,4,5,6
0,Profit & Loss account of Larsen & Toubro (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],73315.59,81617.98,81095.90,73495.49,65396.00,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,149.10,577.49,
5,Revenue From Operations [Net],73315.59,81617.98,81095.90,73346.39,64818.51,
6,Total Operating Revenues,73315.59,82383.65,82287.42,74462.55,65723.86,
7,Other Income,3435.44,2807.87,2711.19,1884.82,1914.96,
8,Total Revenue,76751.03,85191.52,84998.61,76347.37,67638.82,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,5693.94,5486.99,5712.54,8092.54,7370.57,
11,Operating And Direct Expenses,0.00,60603.60,61361.00,50062.36,42532.98,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",342.59,-64.01,-1126.17,-962.36,131.59,
13,Employee Benefit Expenses,5485.38,5955.98,5732.60,5713.59,5147.38,
14,Finance Costs,2419.55,2266.56,1787.62,1432.23,1316.91,
15,Depreciation And Amortisation Expenses,1025.62,1020.51,999.55,1049.46,1215.19,
16,Other Expenses,53289.42,2707.34,2047.87,2836.27,2671.00,
17,Total Expenses,69494.61,78832.60,77421.50,69515.52,61774.95,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",7256.42,6358.92,7577.11,6831.85,5863.87,
19,Exceptional Items,-2818.65,626.99,1642.35,430.53,893.97,
20,Profit/Loss Before Tax,4437.77,6985.91,9219.46,7262.38,6757.84,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,1751.28,1525.60,2409.73,1974.07,1675.20,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-564.45,-138.60,-98.99,-371.10,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,1751.28,961.15,2271.13,1875.08,1304.10,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,2686.49,6024.76,6948.33,5387.30,5453.74,
28,Profit/Loss From Continuing Operations,11336.97,6024.76,6948.33,5387.30,5453.74,
29,Profit/Loss For The Period,11336.97,6679.21,7491.39,5387.30,5453.74,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),19.13,47.59,53.43,38.46,39.00,
33,Diluted EPS (Rs.),19.11,47.53,53.34,38.37,38.86,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,1403.89,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),1800.00,900.00,900.00,800.00,700.00,
