,0,1,2,3,4,5,6
0,Profit & Loss account of Lux Industries (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1928.99,1194.22,1197.94,1067.32,945.75,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],1928.99,1194.22,1197.94,1067.32,945.75,
6,Total Operating Revenues,1938.42,1202.69,1208.68,1077.51,957.97,
7,Other Income,12.34,4.21,9.20,1.85,1.62,
8,Total Revenue,1950.76,1206.91,1217.88,1079.36,959.59,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,778.39,514.08,465.30,504.52,415.96,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",42.16,-48.24,35.05,-52.38,-6.46,
13,Employee Benefit Expenses,67.00,46.81,43.49,37.47,25.08,
14,Finance Costs,10.92,13.16,23.60,25.42,22.00,
15,Depreciation And Amortisation Expenses,17.09,12.39,11.24,9.63,7.08,
16,Other Expenses,660.05,440.23,407.88,400.34,392.86,
17,Total Expenses,1584.67,1039.94,1063.24,958.34,867.45,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",366.09,166.97,154.64,121.02,92.13,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,366.09,166.97,154.64,121.02,92.13,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,92.72,43.00,51.79,42.43,31.10,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-2.14,1.34,0.71,1.39,
25,Tax For Earlier Years,0.00,0.09,0.20,0.00,0.00,
26,Total Tax Expenses,92.72,40.96,53.33,43.14,32.49,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,273.37,126.01,101.31,77.88,59.65,
28,Profit/Loss From Continuing Operations,273.37,126.01,101.31,77.88,59.65,
29,Profit/Loss For The Period,273.37,126.01,101.31,77.88,59.65,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),90.91,49.90,40.12,30.84,23.62,
33,Diluted EPS (Rs.),90.91,49.90,40.12,30.84,23.62,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,34.09,5.05,3.54,0.51,
42,Tax On Dividend,0.00,7.01,1.04,0.78,0.13,
43,Equity Dividend Rate (%),0.00,625.00,175.00,100.00,70.00,
