,0,1,2,3,4,5,6
0,Profit & Loss account of United Spirits (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],27176.40,28554.80,28463.90,26025.90,25354.20,
4,Less: Excise/Sevice Tax/Other Levies,19287.20,19498.30,19531.70,17899.00,16851.20,
5,Revenue From Operations [Net],7889.20,9056.50,8932.20,8126.90,8503.00,
6,Total Operating Revenues,7889.20,9090.90,8980.60,8170.10,8547.60,
7,Other Income,47.80,45.50,95.20,206.00,111.10,
8,Total Revenue,7937.00,9136.40,9075.80,8376.10,8658.70,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,3988.60,4623.90,4225.00,4069.30,4634.20,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",130.20,107.40,80.70,-17.70,44.40,
13,Employee Benefit Expenses,540.40,514.30,675.30,660.10,667.40,
14,Finance Costs,165.80,190.70,220.00,261.10,369.00,
15,Depreciation And Amortisation Expenses,249.30,227.50,144.50,135.10,132.30,
16,Other Expenses,1892.90,2048.50,2423.00,2199.40,2024.80,
17,Total Expenses,7316.60,8003.00,8057.70,7544.80,8077.90,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",620.40,1133.40,1018.10,831.30,580.80,
19,Exceptional Items,-151.40,1.30,-26.70,9.00,-326.20,
20,Profit/Loss Before Tax,469.00,1134.70,991.40,840.30,254.60,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,158.70,306.30,435.00,240.10,54.90,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,-2.70,
24,Deferred Tax,0.00,38.00,-102.20,38.50,27.10,
25,Tax For Earlier Years,0.00,85.70,0.00,0.00,0.00,
26,Total Tax Expenses,158.70,430.00,332.80,278.60,84.70,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,310.30,704.70,658.60,561.70,169.90,
28,Profit/Loss From Continuing Operations,310.30,704.70,658.60,561.70,169.90,
29,Profit/Loss For The Period,310.30,704.70,658.60,561.70,169.90,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),4.27,9.70,9.06,38.65,11.69,
33,Diluted EPS (Rs.),4.27,9.70,9.06,38.65,11.69,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
