,0,1,2,3,4,5,6
0,Profit & Loss account of MOIL (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1177.38,1030.42,1432.06,1316.43,989.84,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],1177.38,1030.42,1432.06,1316.43,989.84,
6,Total Operating Revenues,1177.38,1038.07,1440.67,1323.46,989.84,
7,Other Income,102.48,181.11,190.81,177.72,221.13,
8,Total Revenue,1279.85,1219.18,1631.48,1501.18,1210.97,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,13.57,38.42,38.40,29.85,119.97,
11,Operating And Direct Expenses,0.00,90.72,81.45,67.80,69.88,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",67.10,-68.33,-0.86,19.44,48.42,
13,Employee Benefit Expenses,444.36,462.61,428.26,406.19,307.66,
14,Finance Costs,0.00,0.00,0.00,0.00,0.00,
15,Depreciation And Amortisation Expenses,99.17,96.16,66.82,62.45,54.71,
16,Other Expenses,365.54,281.07,317.95,283.48,163.33,
17,Total Expenses,989.74,878.69,911.73,853.26,749.07,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",290.11,340.49,719.75,647.92,461.90,
19,Exceptional Items,-50.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,240.11,340.49,719.75,647.92,461.90,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,63.48,90.34,266.09,229.67,160.51,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,1.93,-20.23,-3.74,-4.44,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,63.48,92.27,245.86,225.93,156.07,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,176.63,248.22,473.89,421.99,305.83,
28,Profit/Loss From Continuing Operations,176.63,248.22,473.89,421.99,305.83,
29,Profit/Loss For The Period,176.63,248.22,473.89,421.99,305.83,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),7.44,9.80,18.40,21.08,20.21,
33,Diluted EPS (Rs.),7.44,9.80,18.40,21.08,20.21,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,148.48,141.68,159.83,66.59,
42,Tax On Dividend,0.00,42.10,29.12,32.54,13.56,
43,Equity Dividend Rate (%),0.00,60.00,60.00,55.00,110.00,
