,0,1,2,3,4,5,6
0,Profit & Loss account of MphasiS (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],5561.25,4332.42,3520.43,3114.92,2945.45,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],5561.25,4332.42,3520.43,3114.92,2945.45,
6,Total Operating Revenues,5561.25,4347.14,3434.02,3274.87,3018.55,
7,Other Income,89.46,323.29,118.59,121.62,186.58,
8,Total Revenue,5650.71,4670.43,3552.61,3396.49,3205.14,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,851.88,444.52,406.17,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,4.10,
13,Employee Benefit Expenses,1774.54,1662.11,1441.14,1391.55,1356.50,
14,Finance Costs,52.05,63.04,6.67,5.24,2.40,
15,Depreciation And Amortisation Expenses,150.55,153.24,38.39,31.79,26.38,
16,Other Expenses,2227.80,552.52,649.19,618.19,984.59,
17,Total Expenses,4204.95,3282.79,2579.91,2452.94,2373.99,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1445.76,1387.64,972.70,943.55,831.15,
19,Exceptional Items,0.00,0.00,0.00,-13.08,-4.80,
20,Profit/Loss Before Tax,1445.76,1387.64,972.70,930.47,826.35,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,335.40,202.99,199.50,218.36,203.63,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-20.41,3.77,-27.77,-2.29,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,335.40,182.58,203.27,190.58,201.34,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1110.36,1205.06,769.43,739.89,625.01,
28,Profit/Loss From Continuing Operations,1110.36,1205.06,769.43,739.89,625.01,
29,Profit/Loss For The Period,1110.36,1205.06,769.43,739.89,625.01,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),59.48,64.66,40.18,37.69,29.76,
33,Diluted EPS (Rs.),58.79,64.17,39.78,37.63,29.71,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,503.11,386.70,395.15,505.87,
42,Tax On Dividend,0.00,103.42,79.49,0.00,0.00,
43,Equity Dividend Rate (%),650.00,350.00,270.00,200.00,170.00,
