,0,1,2,3,4,5,6
0,Profit & Loss account of Muthoot Finance (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],8714.64,6878.21,6266.52,5638.88,4800.67,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],8714.64,6878.21,6266.52,5638.88,4800.67,
6,Total Operating Revenues,8714.64,6878.21,6266.52,5728.63,4861.40,
7,Other Income,8.15,2.42,66.64,18.07,13.61,
8,Total Revenue,8722.79,6880.63,6333.15,5746.70,4875.02,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,1028.96,897.55,782.38,763.85,661.44,
14,Finance Costs,2790.94,2236.84,1931.40,2293.82,2257.69,
15,Depreciation And Amortisation Expenses,43.09,42.09,43.85,48.25,162.44,
16,Other Expenses,706.67,599.78,491.18,438.22,419.18,
17,Total Expenses,4665.38,3803.81,3488.47,3825.72,3558.26,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",4057.41,3076.82,2844.69,1920.98,1316.75,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,4057.41,3076.82,2844.69,1920.98,1316.75,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,1037.81,1093.77,1004.64,745.20,521.94,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,1.21,-11.48,52.35,-4.05,-17.13,
25,Tax For Earlier Years,0.10,22.38,10.14,0.00,2.39,
26,Total Tax Expenses,1039.11,1104.67,1067.13,741.15,507.20,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,3018.30,1972.14,1777.56,1179.83,809.55,
28,Profit/Loss From Continuing Operations,3018.30,1972.14,1777.56,1179.83,809.55,
29,Profit/Loss For The Period,3018.30,1972.14,1777.56,1179.83,809.55,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),75.31,49.27,44.48,29.56,20.34,
33,Diluted EPS (Rs.),75.21,49.18,44.33,29.45,20.10,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,601.56,0.00,399.91,239.69,239.02,
42,Tax On Dividend,222.21,0.00,81.41,48.79,48.66,
43,Equity Dividend Rate (%),150.00,120.00,100.00,60.00,60.00,
