,0,1,2,3,4,5,6
0,Profit & Loss account of Nippon Life India Asset Management (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1131.67,1415.26,1531.98,1269.63,1164.20,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],1131.67,1415.26,1531.98,1269.63,1164.20,
6,Total Operating Revenues,1131.67,1415.26,1531.98,1269.63,1164.20,
7,Other Income,2.62,173.78,148.61,130.81,106.87,
8,Total Revenue,1134.29,1589.04,1680.59,1400.44,1271.07,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,38.28,232.13,284.99,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,278.46,277.42,242.38,181.56,181.81,
14,Finance Costs,5.58,0.00,2.17,0.00,0.00,
15,Depreciation And Amortisation Expenses,32.62,9.99,8.45,17.85,4.23,
16,Other Expenses,217.96,382.78,506.27,618.92,568.81,
17,Total Expenses,572.90,902.32,1044.26,818.33,754.85,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",561.39,686.72,636.33,582.11,516.22,
19,Exceptional Items,0.00,0.00,0.00,0.00,-0.40,
20,Profit/Loss Before Tax,561.39,686.72,636.33,582.11,515.82,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,142.73,215.42,193.82,172.71,125.78,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,6.36,-3.87,-5.06,4.62,-0.08,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,149.09,211.55,188.76,177.33,125.70,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,412.30,475.17,447.57,404.78,390.12,
28,Profit/Loss From Continuing Operations,412.30,475.17,447.57,404.78,390.12,
29,Profit/Loss For The Period,412.30,475.17,447.57,404.78,390.12,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),6.74,7.77,7.49,6.90,338.32,
33,Diluted EPS (Rs.),6.65,7.77,7.48,6.90,338.32,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,367.21,244.80,553.68,0.00,144.00,
42,Tax On Dividend,75.48,47.49,112.71,0.00,29.38,
43,Equity Dividend Rate (%),50.00,60.00,60.00,2150.00,1250.00,
