,0,1,2,3,4,5,6
0,Profit & Loss account of National Aluminium Company (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],8425.75,11386.32,9505.12,7932.99,7156.55,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,108.86,506.98,452.27,
5,Revenue From Operations [Net],8425.75,11386.32,9396.26,7426.01,6704.28,
6,Total Operating Revenues,8471.84,11499.32,9509.45,7543.04,6816.96,
7,Other Income,272.58,325.87,299.65,408.27,605.13,
8,Total Revenue,8744.42,11825.19,9809.10,7951.31,7422.09,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,4667.08,4846.80,4213.23,3394.32,2969.02,
11,Operating And Direct Expenses,292.67,314.56,276.40,230.43,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-365.23,-5.08,47.43,-96.59,-8.99,
13,Employee Benefit Expenses,1994.07,2072.28,2261.20,1537.44,1398.33,
14,Finance Costs,5.74,2.38,1.95,2.69,3.27,
15,Depreciation And Amortisation Expenses,529.83,476.10,480.40,480.36,426.12,
16,Other Expenses,1394.02,1378.23,1313.74,1397.79,1499.14,
17,Total Expenses,8518.18,9085.27,8594.35,6946.44,6286.89,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",226.24,2739.92,1214.75,1004.87,1135.20,
19,Exceptional Items,0.00,0.00,824.08,-40.15,53.45,
20,Profit/Loss Before Tax,226.24,2739.92,2038.83,964.72,1188.65,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,151.40,998.36,793.18,219.52,366.93,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-63.39,-17.13,-96.76,76.67,34.61,
25,Tax For Earlier Years,0.00,26.29,0.00,0.00,0.00,
26,Total Tax Expenses,88.01,1007.52,696.42,296.19,401.54,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,138.23,1732.40,1342.41,668.53,787.11,
28,Profit/Loss From Continuing Operations,138.23,1732.40,1342.41,668.53,787.11,
29,Profit/Loss For The Period,138.23,1732.40,1342.41,668.53,787.11,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),0.74,9.06,6.94,2.98,3.05,
33,Diluted EPS (Rs.),0.74,9.06,6.94,2.98,3.05,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,279.84,839.53,908.48,541.22,451.02,
42,Tax On Dividend,57.52,172.57,184.94,110.18,91.80,
43,Equity Dividend Rate (%),30.00,115.00,114.00,56.00,40.00,
