,0,1,2,3,4,5,6
0,Profit & Loss account of Nava Bharat Ventures (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1058.26,1329.28,1282.79,970.79,1009.62,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,-0.90,36.42,28.59,
5,Revenue From Operations [Net],1058.26,1329.28,1283.69,934.38,981.03,
6,Total Operating Revenues,1079.99,1358.71,1309.54,953.96,989.27,
7,Other Income,52.22,79.07,46.48,50.97,64.82,
8,Total Revenue,1132.21,1437.78,1356.02,1004.93,1054.09,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,625.96,825.91,766.50,556.05,582.29,
11,Operating And Direct Expenses,75.64,93.69,89.98,69.09,62.52,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-15.13,-31.07,4.30,-18.19,34.40,
13,Employee Benefit Expenses,83.20,93.92,89.80,82.29,77.80,
14,Finance Costs,20.52,24.64,15.31,36.67,32.84,
15,Depreciation And Amortisation Expenses,31.88,36.94,37.43,37.08,34.05,
16,Other Expenses,111.14,132.82,113.22,116.89,111.13,
17,Total Expenses,933.23,1179.10,1118.87,882.37,937.70,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",198.98,258.67,237.15,122.56,116.40,
19,Exceptional Items,0.00,0.00,0.00,0.00,-0.33,
20,Profit/Loss Before Tax,198.98,258.67,237.15,122.56,116.07,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,69.13,88.02,67.73,27.78,27.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,20.30,
24,Deferred Tax,-1.16,4.47,7.86,15.18,-1.85,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,67.97,92.48,75.59,42.96,4.85,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,131.01,166.19,161.56,79.60,111.22,
28,Profit/Loss From Continuing Operations,131.01,166.19,161.56,79.60,111.22,
29,Profit/Loss For The Period,128.56,166.19,161.56,79.60,111.22,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),7.83,10.02,9.74,4.65,12.46,
33,Diluted EPS (Rs.),7.83,10.02,9.74,4.65,12.46,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,103.98,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,503.46,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,49.95,25.29,16.86,25.29,25.29,
42,Tax On Dividend,10.27,5.20,3.43,5.15,5.15,
43,Equity Dividend Rate (%),75.00,75.00,75.00,50.00,150.00,
