,0,1,2,3,4,5,6
0,Profit & Loss account of NCC (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],7255.67,8199.35,12066.88,7527.73,7880.27,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],7255.67,8199.35,12066.88,7527.73,7880.27,
6,Total Operating Revenues,7255.67,8218.80,12079.76,7559.32,7892.07,
7,Other Income,115.60,151.27,118.25,115.83,140.08,
8,Total Revenue,7371.27,8370.07,12198.01,7675.16,8032.15,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2377.87,2944.69,4763.59,2935.28,2995.89,
11,Operating And Direct Expenses,0.00,3550.17,5166.90,3354.51,3551.41,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,-158.74,139.80,
13,Employee Benefit Expenses,349.35,435.23,439.32,364.11,331.55,
14,Finance Costs,457.78,517.87,451.26,378.94,395.70,
15,Depreciation And Amortisation Expenses,174.09,177.52,149.37,117.47,112.06,
16,Other Expenses,3673.97,258.56,286.95,209.29,188.26,
17,Total Expenses,7033.06,7884.04,11257.39,7200.85,7714.66,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",338.21,486.03,940.62,474.31,317.49,
19,Exceptional Items,0.00,-32.67,-58.93,-106.56,-50.34,
20,Profit/Loss Before Tax,338.21,453.36,881.69,367.74,267.15,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,77.08,100.05,308.73,96.86,93.56,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-28.73,9.05,-15.92,-51.91,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,77.08,71.32,317.78,80.94,41.65,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,261.13,382.04,563.91,286.80,225.50,
28,Profit/Loss From Continuing Operations,261.13,382.04,563.91,286.80,225.50,
29,Profit/Loss For The Period,261.13,382.04,563.91,286.80,225.50,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),4.28,6.34,9.39,5.09,4.06,
33,Diluted EPS (Rs.),4.28,6.34,9.39,5.09,4.06,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,108.62,72.42,26.77,40.15,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),40.00,10.00,75.00,50.00,20.00,
