,0,1,2,3,4,5,6
0,Profit & Loss account of NESCO (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],291.09,431.73,360.38,304.40,308.56,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.76,2.81,
5,Revenue From Operations [Net],291.09,431.73,360.38,303.65,305.75,
6,Total Operating Revenues,291.09,431.73,360.38,303.65,305.75,
7,Other Income,64.56,42.39,31.68,36.06,42.98,
8,Total Revenue,355.66,474.12,392.06,339.71,348.73,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,15.54,17.62,22.51,10.97,15.35,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",1.48,0.94,1.14,-0.91,0.17,
13,Employee Benefit Expenses,16.00,19.91,18.29,14.54,12.09,
14,Finance Costs,8.22,6.02,4.71,5.55,5.03,
15,Depreciation And Amortisation Expenses,25.73,22.44,11.87,11.03,8.13,
16,Other Expenses,72.34,114.97,85.86,63.45,64.23,
17,Total Expenses,139.31,181.90,144.37,104.61,105.01,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",216.35,292.22,247.69,235.10,243.72,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,216.35,292.22,247.69,235.10,243.72,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,43.85,50.36,71.58,61.66,63.25,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,8.07,-5.30,-4.08,11.05,
25,Tax For Earlier Years,0.00,0.00,1.23,0.82,0.00,
26,Total Tax Expenses,43.85,58.43,67.51,58.40,74.30,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,172.50,233.79,180.18,176.69,169.42,
28,Profit/Loss From Continuing Operations,172.50,233.79,180.18,176.69,169.42,
29,Profit/Loss For The Period,172.50,233.79,180.18,176.69,169.42,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),24.48,33.18,25.57,25.08,24.05,
33,Diluted EPS (Rs.),24.48,33.18,25.57,25.08,24.05,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,38.75,16.21,15.50,0.00,
42,Tax On Dividend,0.00,7.97,3.33,3.16,0.00,
43,Equity Dividend Rate (%),150.00,150.00,125.00,115.00,110.00,
