,0,1,2,3,4,5,6
0,Profit & Loss account of Nestle India (in Rs. Cr.),Dec 20,Dec 19,Dec 18,Dec 17,Dec 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],13290.16,12295.27,11216.23,10135.11,9491.72,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,182.58,332.44,
5,Revenue From Operations [Net],13290.16,12295.27,11216.23,9952.53,9159.28,
6,Total Operating Revenues,13350.03,12368.90,11292.27,10009.60,9223.80,
7,Other Income,145.85,246.88,258.92,176.92,149.39,
8,Total Revenue,13495.88,12615.78,11551.19,10186.52,9373.19,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,5554.24,5150.30,4365.68,4231.66,3775.09,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-69.33,-144.19,-6.01,-79.56,-10.78,
13,Employee Benefit Expenses,1500.95,1258.17,1124.15,1017.45,1073.36,
14,Finance Costs,164.18,129.12,111.95,91.90,3.51,
15,Depreciation And Amortisation Expenses,370.38,370.15,335.67,342.25,353.62,
16,Other Expenses,2959.70,2936.05,2856.56,2481.11,2379.03,
17,Total Expenses,10683.09,9942.29,9122.24,8347.22,7869.51,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2812.79,2673.49,2428.95,1839.30,1503.68,
19,Exceptional Items,0.00,0.00,0.00,0.00,-62.14,
20,Profit/Loss Before Tax,2812.79,2673.49,2428.95,1839.30,1441.54,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,763.42,747.00,884.87,649.17,533.71,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-33.06,-41.95,-62.85,-35.06,-18.71,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,730.36,705.05,822.02,614.11,515.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,2082.43,1968.44,1606.93,1225.19,926.54,
28,Profit/Loss From Continuing Operations,2082.43,1968.44,1606.93,1225.19,926.54,
29,Profit/Loss For The Period,2082.43,1968.44,1606.93,1225.19,926.54,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),215.98,204.28,166.67,127.07,96.10,
33,Diluted EPS (Rs.),215.98,204.28,166.67,127.07,96.10,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,360.98,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,2750.90,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,10.44,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,79.06,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,1889.75,2950.32,1089.50,829.18,607.42,
42,Tax On Dividend,0.00,605.94,223.87,168.77,123.66,
43,Equity Dividend Rate (%),2000.00,3420.00,1150.00,860.00,630.00,
