,0,1,2,3,4,5,6
0,Profit & Loss account of Oberoi Realty (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],849.67,615.10,1021.60,968.20,884.88,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.03,0.12,
5,Revenue From Operations [Net],849.67,615.10,1021.60,968.17,884.76,
6,Total Operating Revenues,849.67,619.66,1028.66,974.19,890.59,
7,Other Income,51.49,124.20,129.63,109.12,58.48,
8,Total Revenue,901.16,743.86,1158.28,1083.31,949.07,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,179.16,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,1253.18,311.37,345.58,333.11,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",84.21,-1080.86,24.12,0.00,0.00,
13,Employee Benefit Expenses,39.75,55.05,62.16,57.99,55.62,
14,Finance Costs,10.52,11.87,14.54,2.57,2.17,
15,Depreciation And Amortisation Expenses,27.46,30.84,31.52,39.64,42.00,
16,Other Expenses,51.55,54.86,69.69,46.58,40.05,
17,Total Expenses,392.65,324.94,513.39,492.37,472.94,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",508.51,418.91,644.89,590.94,476.13,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,508.51,418.91,644.89,590.94,476.13,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,91.89,103.75,187.40,175.58,155.01,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,0.36,3.79,-2.11,0.47,
25,Tax For Earlier Years,0.00,-0.04,-0.01,0.30,0.00,
26,Total Tax Expenses,91.89,104.07,191.18,173.77,155.48,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,416.62,314.84,453.70,417.17,320.65,
28,Profit/Loss From Continuing Operations,416.62,314.84,453.70,417.17,320.65,
29,Profit/Loss For The Period,416.62,314.84,453.70,417.17,320.65,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),11.46,8.66,12.66,12.28,9.45,
33,Diluted EPS (Rs.),11.46,8.66,12.66,12.28,9.45,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,72.72,67.92,67.92,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,20.00,20.00,20.00,
