,0,1,2,3,4,5,6
0,Profit & Loss account of Oracle Financial Services Software (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],3645.21,3676.38,3698.24,3933.99,3878.40,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],3645.21,3676.38,3698.24,3933.99,3878.40,
6,Total Operating Revenues,3645.21,3676.38,3698.24,3933.99,3878.40,
7,Other Income,116.48,18.29,21.60,16.37,21.58,
8,Total Revenue,3761.69,3694.67,3719.85,3950.35,3899.97,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,290.53,310.85,402.15,5.12,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,1244.32,1190.92,1189.61,1858.67,1810.86,
14,Finance Costs,4.80,8.02,0.00,0.00,0.00,
15,Depreciation And Amortisation Expenses,80.20,83.17,50.20,57.35,66.80,
16,Other Expenses,244.49,113.45,182.78,145.27,550.85,
17,Total Expenses,1573.81,1686.09,1733.43,2463.44,2433.64,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2187.88,2008.58,1986.42,1486.91,1466.33,
19,Exceptional Items,0.00,0.00,0.00,0.00,216.26,
20,Profit/Loss Before Tax,2187.88,2008.58,1986.42,1486.91,1682.59,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,548.60,456.07,642.89,477.58,438.39,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-30.15,61.05,3.35,-43.89,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,548.60,425.92,703.95,480.92,394.50,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1639.29,1582.66,1282.47,1005.99,1288.10,
28,Profit/Loss From Continuing Operations,1639.29,1582.66,1282.47,1005.99,1288.10,
29,Profit/Loss For The Period,1639.29,1582.66,1282.47,1005.99,1288.10,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),190.64,184.39,149.77,117.91,151.57,
33,Diluted EPS (Rs.),189.80,183.62,149.01,117.21,151.06,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,1113.29,2.73,2296.93,
42,Tax On Dividend,0.00,0.00,228.84,0.56,410.79,
43,Equity Dividend Rate (%),4000.00,3600.00,0.00,2600.00,3400.00,
