,0,1,2,3,4,5,6
0,Profit & Loss account of Page Industries (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2832.94,2893.82,2807.65,2518.66,2106.09,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.66,3.13,
5,Revenue From Operations [Net],2832.94,2893.82,2807.65,2518.00,2102.96,
6,Total Operating Revenues,2832.94,2945.42,2852.20,2551.37,2127.33,
7,Other Income,19.47,24.64,36.43,21.47,24.34,
8,Total Revenue,2852.41,2970.06,2888.63,2572.84,2151.67,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,584.90,653.92,770.34,690.04,735.42,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",196.64,17.56,-160.03,63.88,-95.22,
13,Employee Benefit Expenses,563.75,531.70,466.81,406.53,375.62,
14,Finance Costs,29.74,33.86,16.26,16.64,18.02,
15,Depreciation And Amortisation Expenses,62.91,61.36,31.06,27.99,24.72,
16,Other Expenses,478.65,570.32,571.78,516.85,475.00,
17,Total Expenses,2398.99,2508.06,2282.60,2055.33,1756.85,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",453.42,462.01,606.03,517.51,394.82,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,453.42,462.01,606.03,517.51,394.82,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,112.84,117.40,207.10,169.10,124.50,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,1.39,7.86,1.43,4.04,
25,Tax For Earlier Years,0.00,0.00,-2.87,0.00,0.00,
26,Total Tax Expenses,112.84,118.79,212.09,170.53,128.54,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,340.58,343.22,393.94,346.98,266.28,
28,Profit/Loss From Continuing Operations,340.58,343.22,393.94,346.98,266.28,
29,Profit/Loss For The Period,340.58,343.22,393.94,346.98,266.28,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),305.35,307.72,353.19,311.08,238.74,
33,Diluted EPS (Rs.),305.35,307.72,353.19,311.08,238.74,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,179.58,377.00,134.96,107.08,
42,Tax On Dividend,0.00,46.31,77.49,27.48,21.80,
43,Equity Dividend Rate (%),2500.00,1610.00,3440.00,1310.00,750.00,
