,0,1,2,3,4,5,6
0,Profit & Loss account of Piramal Enterprises (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1824.70,4144.32,3600.14,3245.35,3752.06,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,8.32,43.10,
5,Revenue From Operations [Net],1824.70,4144.32,3600.14,3237.03,3708.96,
6,Total Operating Revenues,1824.70,4219.19,3671.40,3288.63,3766.21,
7,Other Income,95.76,699.06,446.32,639.79,357.15,
8,Total Revenue,1920.46,4918.25,4117.72,3928.42,4123.36,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,332.74,878.18,767.27,809.73,791.27,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-53.32,-10.73,9.74,-24.84,19.06,
13,Employee Benefit Expenses,81.99,463.15,405.45,442.72,370.63,
14,Finance Costs,1068.77,1710.06,1496.61,989.55,1178.34,
15,Depreciation And Amortisation Expenses,32.82,175.46,131.18,111.58,94.49,
16,Other Expenses,108.79,1086.37,713.73,745.50,622.09,
17,Total Expenses,1731.31,4378.41,3621.34,3174.97,3203.43,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",189.15,539.84,496.38,753.45,919.93,
19,Exceptional Items,-258.35,0.00,-1287.96,0.00,0.00,
20,Profit/Loss Before Tax,-69.20,539.84,-791.58,753.45,919.93,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,51.02,130.42,71.57,175.38,195.42,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-121.05,-1.17,59.60,-52.27,
25,Tax For Earlier Years,0.00,385.62,0.00,0.00,0.00,
26,Total Tax Expenses,51.02,394.99,70.40,234.98,143.15,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-120.22,144.85,-861.98,518.47,776.78,
28,Profit/Loss From Continuing Operations,39.90,144.85,-861.98,518.47,776.78,
29,Profit/Loss For The Period,39.90,144.85,-861.98,518.47,776.78,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),1.68,6.87,-43.40,28.52,44.83,
33,Diluted EPS (Rs.),1.68,6.84,-43.40,28.52,44.83,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,556.77,451.50,362.38,0.00,
42,Tax On Dividend,0.00,0.09,91.27,72.82,0.00,
43,Equity Dividend Rate (%),1650.00,700.00,1400.00,1250.00,1050.00,
