,0,1,2,3,4,5,6
0,Profit & Loss account of Phillips Carbon Black (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2659.52,3222.04,3503.49,2595.96,2128.36,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,53.33,204.32,
5,Revenue From Operations [Net],2659.52,3222.04,3503.49,2542.63,1924.04,
6,Total Operating Revenues,2659.52,3243.54,3528.56,2546.98,1926.95,
7,Other Income,15.79,24.13,19.41,19.73,18.94,
8,Total Revenue,2675.31,3267.67,3547.97,2566.71,1945.89,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1583.70,2185.72,2351.96,1650.89,1221.26,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",25.23,3.79,-55.40,8.42,15.28,
13,Employee Benefit Expenses,132.17,134.38,110.92,97.18,81.80,
14,Finance Costs,33.88,45.90,36.77,41.44,51.45,
15,Depreciation And Amortisation Expenses,110.12,92.36,66.38,60.52,60.62,
16,Other Expenses,399.85,454.68,498.53,404.44,349.96,
17,Total Expenses,2284.95,2916.83,3009.17,2262.88,1780.37,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",390.36,350.84,538.80,303.83,165.52,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,390.36,350.84,538.80,303.83,165.52,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,78.09,57.32,150.87,91.80,36.11,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,10.03,-0.60,-17.76,59.89,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,78.09,67.34,150.27,74.04,96.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,312.27,283.49,388.53,229.79,69.52,
28,Profit/Loss From Continuing Operations,312.27,283.49,388.53,229.79,69.52,
29,Profit/Loss For The Period,312.27,283.49,388.53,229.79,69.52,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),18.12,16.45,22.54,66.67,20.17,
33,Diluted EPS (Rs.),18.12,16.45,22.54,66.67,20.17,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,120.64,81.00,20.68,29.30,
42,Tax On Dividend,0.00,24.80,16.65,4.21,5.96,
43,Equity Dividend Rate (%),350.00,350.00,175.00,120.00,60.00,
