,0,1,2,3,4,5,6
0,Profit & Loss account of Pidilite Industries (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],6216.33,6290.43,6047.40,5445.67,5270.30,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,136.56,433.28,
5,Revenue From Operations [Net],6216.33,6290.43,6047.40,5309.11,4837.02,
6,Total Operating Revenues,6216.33,6332.59,6093.88,5354.40,4865.37,
7,Other Income,73.49,151.86,191.51,136.49,110.10,
8,Total Revenue,6289.82,6484.45,6285.39,5490.89,4975.47,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2469.53,2520.70,2763.65,2271.28,2025.82,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-89.77,27.98,-73.81,-8.48,-7.90,
13,Employee Benefit Expenses,787.75,736.89,663.54,570.86,507.45,
14,Finance Costs,16.99,13.40,7.14,6.06,5.68,
15,Depreciation And Amortisation Expenses,147.10,125.79,99.83,91.48,90.24,
16,Other Expenses,1047.15,1175.75,1074.01,953.28,870.90,
17,Total Expenses,4832.74,4988.22,4908.94,4159.61,3736.41,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1457.08,1496.23,1376.45,1331.28,1239.06,
19,Exceptional Items,-0.45,-59.28,0.00,0.00,-94.34,
20,Profit/Loss Before Tax,1456.63,1436.95,1376.45,1331.28,1144.72,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,375.17,368.65,385.56,356.89,362.66,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-33.32,11.45,19.20,8.27,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,375.17,335.33,397.01,376.09,370.93,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1081.46,1101.62,979.44,955.19,773.79,
28,Profit/Loss From Continuing Operations,1081.46,1101.62,979.44,955.19,773.79,
29,Profit/Loss For The Period,1081.46,1101.62,979.44,955.19,773.79,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),21.28,21.69,19.28,18.81,15.09,
33,Diluted EPS (Rs.),21.27,21.68,19.27,18.80,15.09,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,685.79,304.69,243.52,25.63,
42,Tax On Dividend,0.00,140.97,59.63,49.57,5.22,
43,Equity Dividend Rate (%),850.00,700.00,650.00,600.00,475.00,
