,0,1,2,3,4,5,6
0,Profit & Loss account of PNB Housing Finance (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],8478.32,7480.86,5488.06,3844.56,2648.85,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],8478.32,7480.86,5488.06,3844.56,2648.85,
6,Total Operating Revenues,8478.32,7480.86,5488.06,3907.70,2696.59,
7,Other Income,7.60,3.74,0.63,0.15,0.00,
8,Total Revenue,8485.92,7484.60,5488.69,3907.85,2696.59,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,8.03,82.75,84.74,74.95,56.43,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,195.28,211.33,142.72,101.26,75.28,
14,Finance Costs,5875.30,5166.46,3536.56,2643.65,1860.29,
15,Depreciation And Amortisation Expenses,65.64,31.29,24.11,18.63,15.04,
16,Other Expenses,266.16,225.77,189.41,162.44,105.34,
17,Total Expenses,7660.92,5906.55,4254.11,3103.84,2193.51,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",825.00,1578.05,1234.58,804.01,503.09,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,825.00,1578.05,1234.58,804.01,503.09,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,366.32,447.49,437.02,264.00,165.98,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-223.63,49.18,-44.58,16.28,9.28,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,1.35,
26,Total Tax Expenses,142.69,496.67,392.44,280.28,176.62,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,682.31,1081.38,842.14,523.73,326.47,
28,Profit/Loss From Continuing Operations,682.31,1081.38,842.14,523.73,326.47,
29,Profit/Loss For The Period,682.31,1081.38,842.14,523.73,326.47,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),40.60,64.61,50.58,36.72,27.48,
33,Diluted EPS (Rs.),40.55,64.22,50.00,36.15,27.48,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,181.70,120.30,0.00,40.39,
42,Tax On Dividend,0.00,0.00,0.00,0.00,8.22,
43,Equity Dividend Rate (%),0.00,90.00,90.00,60.00,34.00,
