,0,1,2,3,4,5,6
0,Profit & Loss account of Poly Medicure (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],747.38,629.09,567.65,496.63,438.86,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,1.26,6.85,
5,Revenue From Operations [Net],747.38,629.09,567.65,495.37,432.00,
6,Total Operating Revenues,747.38,646.16,586.69,508.44,439.50,
7,Other Income,19.29,18.58,15.84,14.37,13.35,
8,Total Revenue,766.67,664.75,602.53,522.81,452.85,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,245.91,207.01,185.22,167.14,145.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-2.24,-7.77,-4.11,-9.94,-4.27,
13,Employee Benefit Expenses,130.74,127.34,109.77,93.93,81.39,
14,Finance Costs,7.91,17.66,11.29,9.50,6.49,
15,Depreciation And Amortisation Expenses,46.31,39.28,36.36,28.41,22.96,
16,Other Expenses,161.56,158.74,148.96,133.05,119.33,
17,Total Expenses,593.29,542.96,502.04,426.45,376.59,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",173.38,121.78,100.49,96.36,76.26,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,173.38,121.78,100.49,96.36,76.26,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,43.87,32.73,30.39,25.37,17.60,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-3.84,2.93,0.79,2.99,
25,Tax For Earlier Years,0.00,0.51,0.89,0.00,-0.53,
26,Total Tax Expenses,43.87,29.40,34.21,26.16,20.06,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,129.51,92.38,66.28,70.20,56.20,
28,Profit/Loss From Continuing Operations,129.51,92.38,66.28,70.20,56.20,
29,Profit/Loss For The Period,129.51,92.38,66.28,70.20,56.20,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),14.54,10.47,7.51,7.96,6.37,
33,Diluted EPS (Rs.),14.53,10.46,7.51,7.95,6.37,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,17.65,0.00,0.00,11.03,
42,Tax On Dividend,0.00,3.63,0.00,0.00,2.25,
43,Equity Dividend Rate (%),50.00,40.00,40.00,40.00,50.00,
