,0,1,2,3,4,5,6
0,Profit & Loss account of Prism Johnson (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],5035.18,5553.50,5930.59,5500.39,5444.92,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,111.51,445.04,
5,Revenue From Operations [Net],5035.18,5553.50,5930.59,5388.88,4999.88,
6,Total Operating Revenues,5035.18,5572.29,5955.57,5408.49,5020.67,
7,Other Income,36.20,26.46,20.73,66.16,89.53,
8,Total Revenue,5071.38,5598.75,5976.30,5474.65,5110.20,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1052.73,1319.67,1408.15,1305.16,1205.04,
11,Operating And Direct Expenses,0.00,1936.71,2169.10,1738.09,1603.17,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",140.36,-43.60,-75.40,54.16,13.59,
13,Employee Benefit Expenses,433.70,464.07,454.33,413.99,380.72,
14,Finance Costs,191.18,205.85,174.06,187.28,183.35,
15,Depreciation And Amortisation Expenses,252.58,200.35,160.06,153.07,160.21,
16,Other Expenses,1986.38,387.60,404.29,398.09,389.42,
17,Total Expenses,4862.82,5456.79,5734.99,5369.59,5082.07,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",208.56,141.96,241.31,105.06,28.13,
19,Exceptional Items,-4.78,-10.32,-11.26,0.00,0.00,
20,Profit/Loss Before Tax,203.78,131.64,230.05,105.06,28.13,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,3.83,0.00,53.15,27.00,11.95,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,75.19,30.92,7.65,-1.33,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,3.83,75.19,84.07,34.65,10.62,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,199.95,56.45,145.98,70.41,17.51,
28,Profit/Loss From Continuing Operations,199.95,56.45,145.98,70.41,17.51,
29,Profit/Loss For The Period,199.95,56.45,145.98,70.41,17.51,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),3.97,1.12,2.90,1.40,0.35,
33,Diluted EPS (Rs.),3.97,1.12,2.90,1.40,0.35,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,60.68,30.34,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,10.00,5.00,0.00,0.00,
