,0,1,2,3,4,5,6
0,Profit & Loss account of Radico Khaitan (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],10367.36,9392.00,8036.24,6244.45,4837.87,
4,Less: Excise/Sevice Tax/Other Levies,7949.22,6990.85,5961.06,4447.60,3188.05,
5,Revenue From Operations [Net],2418.14,2401.15,2075.18,1796.85,1649.82,
6,Total Operating Revenues,2418.14,2427.04,2096.95,1822.77,1679.90,
7,Other Income,20.07,9.19,13.29,26.67,19.65,
8,Total Revenue,2438.21,2436.23,2110.23,1849.44,1699.55,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1238.83,1270.91,1044.86,939.20,902.46,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-38.18,-18.83,-41.70,-12.53,4.42,
13,Employee Benefit Expenses,176.34,186.08,171.38,154.97,141.17,
14,Finance Costs,22.02,31.61,35.48,68.24,80.38,
15,Depreciation And Amortisation Expenses,53.90,52.53,42.44,40.90,41.70,
16,Other Expenses,630.44,613.48,560.90,445.83,406.03,
17,Total Expenses,2085.11,2139.37,1824.52,1662.16,1590.70,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",353.10,296.85,285.71,187.28,108.85,
19,Exceptional Items,0.00,-24.17,0.00,0.00,0.00,
20,Profit/Loss Before Tax,353.10,272.69,285.71,187.28,108.85,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,82.54,70.95,85.73,39.78,14.02,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-25.76,11.91,24.05,14.72,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.04,
26,Total Tax Expenses,82.54,45.19,97.64,63.83,28.78,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,270.56,227.50,188.06,123.45,80.07,
28,Profit/Loss From Continuing Operations,270.56,227.50,188.06,123.45,80.07,
29,Profit/Loss For The Period,270.56,227.50,188.06,123.45,80.07,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),20.26,17.05,14.10,9.26,6.02,
33,Diluted EPS (Rs.),20.25,17.04,14.08,9.25,6.00,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,19.30,16.07,12.82,12.81,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),120.00,100.00,60.00,50.00,40.00,
