,0,1,2,3,4,5,6
0,Profit & Loss account of Rain Industries (in Rs. Cr.),Dec 20,Mar 20,Dec 19,Dec 18,Dec 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],47.63,47.63,63.79,105.35,59.62,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],47.63,47.63,63.79,105.35,59.62,
6,Total Operating Revenues,47.63,47.63,63.79,105.35,59.62,
7,Other Income,49.99,49.99,61.02,103.79,59.34,
8,Total Revenue,97.61,97.61,124.81,209.14,118.96,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,18.31,18.31,18.72,18.71,12.27,
14,Finance Costs,12.14,12.14,18.67,19.61,17.69,
15,Depreciation And Amortisation Expenses,0.64,0.64,0.59,0.52,0.60,
16,Other Expenses,16.80,16.80,17.96,20.42,13.90,
17,Total Expenses,62.97,62.97,86.09,131.81,80.43,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",34.64,34.64,38.72,77.33,38.53,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,34.64,34.64,38.72,77.33,38.53,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,0.96,0.96,3.28,16.87,6.42,
23,Less: MAT Credit Entitlement,-0.33,-0.33,0.00,0.00,0.00,
24,Deferred Tax,-0.01,-0.01,0.00,0.00,0.00,
25,Tax For Earlier Years,6.06,6.06,0.00,0.00,0.00,
26,Total Tax Expenses,7.34,7.34,3.28,16.87,6.42,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,27.30,27.30,35.44,60.47,32.11,
28,Profit/Loss From Continuing Operations,27.30,27.30,35.44,60.47,32.11,
29,Profit/Loss For The Period,27.30,27.30,35.44,60.47,32.11,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),0.81,0.81,1.05,1.80,0.95,
33,Diluted EPS (Rs.),0.81,0.81,1.05,1.80,0.95,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,33.64,33.64,33.64,67.27,33.64,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),50.00,50.00,50.00,50.00,100.00,
